Q,J_1s_one_electron,J_2s_one_electron,J_2p_one_electron,J_total_F
0.0,0.10030037129771903,0.5077121648118152,0.30685980109958605,2.750324077716999
0.05,0.10028929696453358,0.5063775232674429,0.3068564968158778,2.7476161245433417
0.1,0.10025608597649445,0.5023994557161254,0.3068272126245998,2.7394471465082386
0.15000000000000002,0.10020077430526146,0.495854520130216,0.30671603161147065,2.725690746928308
0.2,0.1001234216957582,0.48686700172026487,0.3064367503477292,2.706164598570692
0.25,0.10002411136057797,0.4756041709468415,0.30588227206624874,2.6806679249460825
0.30000000000000004,0.0999029495640764,0.4622700726217978,0.3049357984404862,2.649025036574179
0.35000000000000003,0.09976006510714819,0.44709822484326844,0.30348233349483417,2.611128247375004
0.4,0.09959560872560805,0.43034365182782053,0.3014191233606902,2.566974137910308
0.45,0.09940975241627117,0.41227468426078556,0.2986639729920308,2.5166887383142678
0.5,0.0992026887052484,0.3931649368758282,0.29516081514805886,2.4605393269024476
0.55,0.09897462987268733,0.3732858212435676,0.29088235930774947,2.398932698771257
0.6000000000000001,0.09872580714730475,0.35289988009233775,0.2858300366703617,2.3324015578310933
0.65,0.09845646988270158,0.3322551467772401,0.28003173136994325,2.2615818901695994
0.7000000000000001,0.09816688472578132,0.3115806484023755,0.27353793131038673,2.1871847228082473
0.75,0.09785733478575583,0.29108309103204927,0.26641695672517324,2.109965635261476
0.8,0.09752811881035735,0.2709446960185924,0.25874986015098,2.0306949304127997
0.8500000000000001,0.09717955037409659,0.25132210125477195,0.25062547347995456,1.9501306706575101
0.9,0.09681195708179956,0.2323462016225692,0.24213593890720347,1.868996011944755
0.9500000000000001,0.09642567978927831,0.21412277881632852,0.2333729259527611,1.7879615469750192
1.0,0.09602107184186999,0.19673376052338348,0.22442462201368704,1.7076327747989422
1.05,0.09559849833072066,0.18023895027927775,0.21537349630814584,1.6285423787607258
1.1,0.095158335366081,0.16467807942536328,0.20629477743278055,1.5511467167467912
1.1500000000000001,0.09470096936649343,0.1500730487135944,0.1972555498827771,1.475825785574061
1.2000000000000002,0.0942267963625509,0.1364302467010166,0.18831435966731339,1.4028858844637018
1.25,0.09373622131385795,0.12374285303341614,0.17952121806365962,1.3325642390128463
1.3,0.0932296574378896,0.11199305538727665,0.17091790057531392,1.265034928526902
1.35,0.09270752554958747,0.10115412805129312,0.16253845123367738,1.200415563370148
1.4000000000000001,0.09217025341072707,0.09119233714419395,0.15440981751400196,1.1387742686798519
1.4500000000000002,0.09161827508831054,0.08206865190563725,0.14655255630545652,1.0801366355151782
1.5,0.09105203032146683,0.07374025326177668,0.13898156535814096,1.0244923939571917
1.55,0.09047196389656147,0.06616184005714948,0.13170680679586078,0.9718016418867258
1.6,0.08987852503042194,0.05928674019029103,0.12473399941005221,0.9220005274916869
1.6500000000000001,0.08927216676176582,0.05306783869499574,0.11806526457337409,0.8750063337803936
1.7000000000000002,0.08865334535107344,0.047458337904158564,0.11169971691337105,0.8307219510773194
1.75,0.08802251968927564,0.04241236654771889,0.1056339956178475,0.7890397505632265
1.8,0.0873801507157282,0.03788545527637861,0.09986273567280642,0.7498448903482458
1.85,0.08672670084602226,0.033834895939596175,0.09437898071783159,0.7130180971603948
1.9000000000000001,0.08606263341023432,0.030220001210853803,0.08917454077201149,0.6784379731022336
1.9500000000000002,0.08538841210225431,0.027002280035517644,0.08424029903153185,0.6459828794332032
2.0,0.08470450044084785,0.024145543028357187,0.07956647242904731,0.6155324490836466
2.0500000000000003,0.0840113612431116,0.02161595048598675,0.07514283080401582,0.5869687774782758
2.1,0.08330945611097193,0.019382014191381393,0.07095887946339982,0.5601773379217058
2.15,0.08259924493135706,0.01741456273562897,0.06700400969089813,0.5350476637884627
2.2,0.08188118539064677,0.01568667870857053,0.0632676214482006,0.5114738354394376
2.25,0.08115573250396908,0.014173614841520882,0.05973922214619374,0.48935480542194865
2.3000000000000003,0.08042333815987535,0.012852695036354295,0.05640850497800813,0.4685945912824999
2.35,0.07968445068088283,0.011703205191437496,0.053265409920365686,0.4491023613464691
2.4000000000000004,0.07893951440032829,0.010706277835337947,0.050300170138871496,0.43079243516568994
2.45,0.07818896925592983,0.009844773798701967,0.04750334618547622,0.4135842170366447
2.5,0.077433250400405,0.009103163485146405,0.04486585005724648,0.3974020780573352
2.5500000000000003,0.076672787829445,0.008467409733796701,0.04237896089704604,0.38217519961171365
2.6,0.07590800602729503,0.00792485378885399,0.040034333859068266,0.3678373889276394
