Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_3d(5),J_4s(1),J_total_Cr
0.0,0.036476118118680956,0.1398261423369912,0.07163444837539412,0.3988822761721612,0.2534596452759103,0.25471230263210015,1.7434361396620124,6.117931287986007
0.05,0.03647560692940154,0.13979793842017046,0.07163444691223451,0.39817691276161865,0.25345888909953973,0.2547122785042049,1.6929173162505822,6.0659396410646345
0.1,0.03647407316591885,0.13971339473384134,0.07163443375492669,0.3960694189609708,0.25345213030553265,0.25471151014316695,1.5508249017578715,5.919415610557924
0.15000000000000002,0.03647151627917959,0.13957271215838973,0.07163438265528452,0.3925852744485271,0.2534261285415992,0.25470544671557643,1.3424045677044578,5.703553874235835
0.2,0.03646793546977704,0.13937621496804803,0.07163425004910089,0.3877659794605651,0.25335956861912035,0.25467950834928466,1.1007920455459845,5.451372759098517
0.25,0.03646332982887058,0.13912433672597782,0.07163397532495626,0.38166780480254703,0.2532241339577444,0.25460224496594686,0.8579981118320892,5.1946689350728175
0.30000000000000004,0.03645769848374874,0.1388176035327454,0.07163348119033267,0.37436034283715985,0.2529859056844973,0.2544212436770547,0.6382497441980589,4.95734357353962
0.35000000000000003,0.03645104072035061,0.1384566168589794,0.07163267412585943,0.36592499534417533,0.25260699590921887,0.2540640477573565,0.45531431453394716,4.75273787937821
0.4,0.03644335606752741,0.13804203797672251,0.0716314449172383,0.356453447758449,0.2520473131874819,0.2534443566331,0.3133591132770939,4.584531128676312
0.45,0.03643464434096278,0.13757457547400875,0.0716296692538889,0.3460461076402598,0.2512663564858433,0.2524719124600237,0.2097602882689888,4.449606659917963
0.5,0.03642490565389852,0.1370549766465146,0.07162720838357879,0.3348104569757244,0.2502249404505938,0.2510634720676117,0.1382607981195681,4.341271730014937
0.55,0.03641414040568165,0.13648402286848257,0.0716239098131399,0.32285928315276013,0.24888676799030637,0.24915231234250373,0.0914918406439595,4.251832362031005
0.6000000000000001,0.036402349258718915,0.13586252847866243,0.07161960804665936,0.31030879322294724,0.2472197841151141,0.24669454582493977,0.0625444698675098,4.174200893883508
0.65,0.036389533111752644,0.13519134234676003,0.07161412535407466,0.2972766576235954,0.24519726541865608,0.24367164010888523,0.045706727894055485,4.102648339239082
0.7000000000000001,0.03637569307426078,0.1344713511261104,0.07160727256471072,0.28388005732456056,0.24279862041857245,0.24008950312455435,0.036639514452127236,4.032976591024461
0.75,0.03636083044425869,0.13370348321954537,0.07159884988180068,0.27023381708081967,0.24000989539116083,0.23597508190190997,0.03225182951271247,3.9623759721492786
0.8,0.03634494669014778,0.13288871263390528,0.07158864771530386,0.25644869969283185,0.23682399702017912,0.23137159919603204,0.030458512763740734,3.8891570951905687
0.8500000000000001,0.036328043436399254,0.1320280621147672,0.0715764475312906,0.24262991815019658,0.23324065632763324,0.2263334271564296,0.02992463891667933,3.8124664452550965
0.9,0.03631012245252145,0.13112260518481036,0.07156202271676768,0.22887590071417724,0.2292661676606592,0.2209213181457668,0.029843976574978837,3.7320369662713917
0.9500000000000001,0.036291185644698375,0.13017346691952075,0.07154513945907799,0.21527732319493073,0.22491294208041385,0.2151984056163534,0.029765727882214776,3.6479901967192325
1.0,0.0362712350495437,0.12918182346140458,0.07152555763896332,0.20191640561474,0.2201989167422648,0.2092271299320207,0.02946760060307749,3.5606890248019263
1.05,0.036250272829504375,0.12814890039107169,0.07150303173609204,0.1888664580710489,0.21514686135780858,0.2030670657542739,0.028867143858817924,3.4706330937768413
1.1,0.03622830126953363,0.12707597014282682,0.07147731174539944,0.17619165271918927,0.20978362024859076,0.196773527613157,0.027962208414470016,3.378387286707296
1.1500000000000001,0.036205322774726004,0.1259643486818316,0.07144814410204095,0.1639469945964353,0.20413932448948682,0.19039679117058442,0.0267924377264164,3.284534537234491
1.2000000000000002,0.036181339868666694,0.12481539165978772,0.07141527261218977,0.15217846254509979,0.19824660378051007,0.18398176816932335,0.02541536410284579,3.18964585145277
1.25,0.036156355192297256,0.12363049024663682,0.07137843938637656,0.14092329186875321,0.19213982246467082,0.17756799463373082,0.02389231749582096,3.0942621363861336
1.3,0.03613037150314184,0.12241106680567393,0.07133738577161544,0.13021037185367385,0.1858543589017641,0.17118982128655763,0.02228071910125368,2.998883913899298
1.35,0.03610339167477353,0.1211585705453764,0.07129185327821702,0.12006073338724348,0.17942594248245922,0.1648767243111561,0.02063038614242227,2.903966173477047
1.4000000000000001,0.036075418696429704,0.11987447324773416,0.07124158449697,0.11048810426269191,0.17289005809884606,0.15865367951586726,0.0189822506097131,2.8099164961776575
1.4500000000000002,0.03604645567270927,0.11856026514271362,0.07118632400228318,0.10149951216874324,0.1662814239749626,0.15254156232703056,0.017368447341400438,2.7170952128083603
1.5,0.036016505823302764,0.11721745097309091,0.07112581923691151,0.09309591771219085,0.15963354544326586,0.14655755005010934,0.015813109236306543,2.6258167965850867
1.55,0.0359855724827207,0.11584754627366085,0.07105982137403179,0.08527286206033226,0.1529783445277244,0.14071551239212624,0.01433346518296366,2.5363519841875597
1.6,0.035953659099995275,0.114452073873552,0.07098808615266736,0.07802111590139717,0.1463458630300846,0.13502638241764597,0.01294100552358417,2.448930310458215
1.6500000000000001,0.035920769238338056,0.11303256061948598,0.0709103746827676,0.07132731840330327,0.1397640351644645,0.12949850391784165,0.011642587796266738,2.3637428629911224
1.7000000000000002,0.03588690657474096,0.11159053431058912,0.07082645421660759,0.06517459670796315,0.13325852458919407,0.1241379534171052,0.010441422039285636,2.280945137146208
1.75,0.035852074899511525,0.11012752083104577,0.07073609888356686,0.059543158232958235,0.12685261988280888,0.11894883631936512,0.009337914258138286,2.2006599163802494
1.8,0.03581627811573574,0.10864504146478099,0.07063909038575784,0.05441084966490712,0.12056718204286018,0.11393355741214431,0.008330368555743987,2.1229801286790213
1.85,0.035779520238663494,0.10714461037586609,0.07053521865238872,0.049753678016632406,0.11442063739417135,0.10909306635713882,0.007415559529712471,2.047971644857091
1.9000000000000001,0.035741805395013315,0.10562773223895287,0.07042428245115195,0.04554629047876055,0.10842900932413205,0.10442707905189204,0.006589191204542403,1.9756759933411603
1.9500000000000002,0.03570313782219405,0.10409590000536298,0.07030608995531913,0.04176241102067571,0.10260598246844069,0.09993427592757309,0.005846259780643954,1.906112971657534
2.0,0.035663521867442524,0.10255059279218004,0.07018045926558837,0.03837523278160677,0.0969629933086528,0.09561247838943816,0.005181336579234072,1.8392831388543307
2.0500000000000003,0.03562296198687701,0.10099327388359043,0.07004721888606917,0.03535776623770965,0.09150934157567366,0.09145880472196707,0.004588785781096094,1.7751701763777425
2.1,0.035581462744467614,0.09942538883563261,0.0699062081540982,0.03268314393544607,0.08625231734896083,0.08746980687135407,0.004062929492407722,1.713743107898625
2.15,0.035539028810925265,0.0978483636773359,0.06975727762385792,0.030324883248235505,0.08119733927273283,0.0836415895815781,0.0035981706408857385,1.654958371401314
2.2,0.035495664962512115,0.09626360320289105,0.06960028940401831,0.028257109147865965,0.0763480998557097,0.07996991339434602,0.003189082363305821,1.5987617395199423
2.25,0.03545137607977663,0.09467248935095558,0.0694351174498423,0.026454739392505363,0.07170671436196603,0.07645028302717921,0.0028304709487249166,1.5450900866019464
2.3000000000000003,0.035406167146217395,0.09307637966844173,0.06926164781038828,0.02489363482936597,0.06727387032343664,0.07307802261927773,0.002517418056572336,1.4938730032439607
2.35,0.035360043246880045,0.09147660585716176,0.06907977883161269,0.023550717703601426,0.0630489751990518,0.06984833928477993,0.0022453068158998844,1.445034261039073
2.4000000000000004,0.03531300956689208,0.08987447240252085,0.06888942131632231,0.022404060968229913,0.05903030016402141,0.06675637634204508,0.002009835501891045,1.3984931319694645
2.45,0.03526507138994063,0.08827125528407062,0.06869049864205364,0.02143295161554134,0.05521511843069702,0.06379725750060072,0.0018070217465146724,1.3541655682651275
2.5,0.03521623409669822,0.08666820076818023,0.06848294683806679,0.020617931011237267,0.05159983687715178,0.06096612318942314,0.001633199642236148,1.3119652496328946
2.5500000000000003,0.03516650316320175,0.08506652428337247,0.06826671462273687,0.019940815120683842,0.04818012009037534,0.058258160105941724,0.0014850116149343015,1.2718045055578322
2.6,0.03511588415918975,0.08346740937902655,0.06804176340270723,0.019384697383564742,0.04495100621842561,0.05566862495866108,0.001359396552710556,1.2335951209163751
2.6500000000000004,0.03506438274640287,0.08187200676818976,0.0678080672352399,0.01893393682934863,0.04190701427174797,0.05319286327096538,0.0012535753631304724,1.197249033447767
2.7,0.035012004676852414,0.08028143345518618,0.06756561275525831,0.018574133840644075,0.03904224272068004,0.050826324012150384,0.0011650348780485541,1.1626789317397959
2.75,0.034958755791061474,0.0786967719485791,0.06731439906862913,0.01829209577281185,0.03635045940694755,0.04856457072595226,0.0010915108208425942,1.129798762328969
2.8000000000000003,0.03490464201628293,0.07711906955985268,0.06705443761327295,0.018075794433034656,0.03382518292509068,0.04640328973811464,0.0010309703862619785,1.0985241543253574
2.85,0.03484966936469843,0.07554933778794075,0.06678575198972997,0.01791431721612118,0.0314597557387388,0.04433829594361121,0.000981594850674952,1.0687727696770644
2.9000000000000004,0.03479384393160196,0.07398855178946054,0.06650837776283576,0.01779781349225086,0.029247409379983855,0.04236553660134359,0.0009417625242579271,1.0404645868145204
2.95,0.0347371718935716,0.07243764993421756,0.0662223622361859,0.017717437647237037,0.027181322141195684,0.040481093499439166,0.0009100322717448554,1.0135221249832824
3.0,0.03467965950663254,0.07089753344524395,0.06592776420108513,0.017665289991381172,0.025254669710700263,0.0386811837974013,0.0008851277608062732,0.9878706161050405
3.0500000000000003,0.03462131310441423,0.06936906612232611,0.06562465366168858,0.017634356580499718,0.023460669229807177,0.03696215980186272,0.0008659225437464757,0.9634381305165148
3.1,0.03456213909630429,0.06785307414767339,0.0653131115380487,0.01761844883344096,0.0217926172614557,0.03532050788999063,0.0008514260363677012,0.9401556624381845
3.1500000000000004,0.03450214396560157,0.06635034597208508,0.06499322934878246,0.017612143685020887,0.02024392216270996,0.03375284675805874,0.0008407704253967516,0.9179571805300601
3.2,0.034441334267670334,0.06486163227969341,0.06466510887506925,0.01761072488198395,0.01880813134664692,0.032255925141684634,0.0008331985110282055,0.8967796484084438
3.25,0.03437971662809756,0.06338764602909569,0.06432886180767991,0.017610125912161063,0.01747895390574518,0.030826619128080032,0.0008280524724473609,0.8765630195321066
3.3000000000000003,0.0343172977408549,0.06192906256844781,0.06398460937872372,0.01760687495299841,0.01625027905033841,0.029461929158760582,0.0008247635304501478,0.857250210423228
3.35,0.034254084366466875,0.060486519821870144,0.06363248197978011,0.017598042134405283,0.01511619079343592,0.028158976802928726,0.0008228424714837857,0.8387870557709083
3.4000000000000004,0.03419008333018641,0.05906061854432091,0.06327261876805827,0.017581189331613158,0.014070979288407516,0.026915001366650444,0.0008218709907746395,0.8211222485750627
3.45,0.034125301520178994,0.05765192264192091,0.06290516726219894,0.01755432263555575,0.013109149199649964,0.025727356390518062,0.0008214938080191033,0.8042072681270142
3.5,0.034059745885716246,0.0562609595545665,0.06253028292929952,0.017515847590227458,0.012225425459188869,0.02459350607830349,0.0008214115068422398,0.7879962982903104
