Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_total_Cl
0.0,0.05199604948453842,0.2131636699904458,0.7125720233817938,0.11235485404296469,0.48953266527738887,5.077255936358289
0.05,0.051994537589821546,0.21306589406855458,0.7087441191822199,0.11235483784603986,0.4895121171225468,5.069298714370165
0.1,0.051990002271926614,0.21277289279350659,0.6973999044549087,0.11235469251455156,0.4893318029342148,5.045112768799067
0.15000000000000002,0.05198244462746368,0.21228564300004787,0.6789483294896457,0.11235412998693112,0.4886576373767342,5.0038458010395725
0.2,0.05197186647720665,0.21160576401384382,0.6540402007754536,0.11235267716833833,0.4870008013612693,4.9443557323493845
0.25,0.0519582703566693,0.21073550475363811,0.623525471980248,0.11234968580203022,0.48380346901713256,4.865553954078955
0.30000000000000004,0.05194165950465327,0.20967772606430668,0.588399818935469,0.11234434513826634,0.4785313023608071,4.766760991642491
0.35000000000000003,0.05192203785120913,0.20843587864618526,0.5497457065467051,0.11233569651437952,0.4707549009820774,4.647995930084862
0.4,0.05189941000649211,0.20701397701780785,0.5086732517884218,0.11232264900169533,0.46020711781982426,4.510144760734737
0.45,0.05187378125184435,0.20541657000060318,0.46626562823740647,0.1123039954260843,0.44681014856012713,4.35498667433685
0.5,0.05184515753412754,0.20364870824452355,0.42353270640995283,0.1122784282777659,0.4306732809660216,4.1850901188739105
0.55,0.05181354546391729,0.20171590932390238,0.38137529992457697,0.1122445552398589,0.4120673900262563,4.003613790995228
0.6000000000000001,0.05177895231771413,0.199624120925172,0.34056101627474683,0.11220091424336542,0.39138488314566183,3.8140580802237674
0.65,0.05174138604388685,0.19737968262543767,0.30171148313579144,0.11214598807661366,0.36909396433855446,3.620010853762686
0.7000000000000001,0.05170085527169237,0.19498928672680996,0.2652997651847125,0.11207821863581709,0.3456945204976415,3.4249217286695393
0.75,0.05165736932244561,0.19245993856950527,0.23165616127144234,0.11199602090996573,0.3216805429764094,3.2319257786686277
0.8,0.051610938221761056,0.18979891670051244,0.20098027427578205,0.11189779676432901,0.2975115587968655,3.043724832966413
0.8500000000000001,0.05156157271175172,0.18701373322717016,0.17335722803842418,0.11178194854006776,0.2735935493220821,2.862524505805509
0.9,0.051509284262139535,0.18411209463882428,0.14877609473896838,0.11164689243760764,0.2502684809082783,2.6900187064469017
0.9500000000000001,0.05145408507937795,0.18110186333672998,0.12714891329845704,0.1114910716086218,0.22781084701989476,2.5274103881803347
1.0,0.051395988113087744,0.17799102007379078,0.10832905360521633,0.11131296885103277,0.2064293920275624,2.375456896828198
