Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(3),J_total_As
0.0,0.026354726701589868,0.09712465050031392,0.04913888176340699,0.25846127384157686,0.1581180824909011,0.9231896158772599,0.12265195009283424,0.656740528602323,7.050543406102641
0.05,0.02635453105331215,0.09711531691400786,0.04913888155234896,0.25826470252889544,0.15811801661366762,0.9150144190011229,0.1226519500284266,0.6566654491689429,7.033555175781871
0.1,0.026353944123880365,0.09708732050672049,0.04913887965257273,0.25767602828369995,0.15811742510150162,0.8909712282430764,0.12265194791659227,0.6560153569845195,6.982280420958682
0.15000000000000002,0.026352965959377243,0.09704067455419262,0.04913887226326538,0.256698354378975,0.1581151332043272,0.8524548638006719,0.12265193049189127,0.6536343265401225,6.89604003473127
0.2,0.02635159663621017,0.09697540188456907,0.049138853047519505,0.255336801414741,0.15810920586425936,0.8016242433131868,0.1226518513028644,0.6479513832833752,6.774437102846857
0.25,0.026349836260540837,0.0968915358178436,0.04913881313259911,0.2535984339036679,0.15809698159887248,0.7411824708282841,0.12265159654188307,0.6373913407450218,6.618149309663399
0.30000000000000004,0.02634768496753543,0.09678912127596669,0.04913874111628133,0.2514921645408386,0.15807511908925725,0.6741196160124734,0.12265094164980851,0.6207573258930331,6.429561729004043
0.35000000000000003,0.02634514292047898,0.09666821590403817,0.04913862308287345,0.24902864177447262,0.15803965555645122,0.6034549488114894,0.12264950260022668,0.5974870188722681,6.213019653275977
0.4,0.026342210309803743,0.09652889105070432,0.049138442631154654,0.2462201262325398,0.15798607569609271,0.5320107316771643,0.12264668619036258,0.5677384547747106,5.974633254731666
0.45,0.02633888735208361,0.09637123248656541,0.04913818091463423,0.24308036079219658,0.15790938964473378,0.46223990669070886,0.12264164368746198,0.5323178790959072,5.721716272161659
0.5,0.026335174289045044,0.09619534078521375,0.04913781669275351,0.2396244378546672,0.15780421820594923,0.3961180966445984,0.12263323182125561,0.49250082595854683,5.462033104627462
0.55,0.02633107138664017,0.09600133134277354,0.04913732639045589,0.23586866600660578,0.15766488339622226,0.3350991310444397,0.1226199844348902,0.44981032873602955,5.203044488837977
0.6000000000000001,0.026326578934220045,0.09578933405929424,0.04913668416311632,0.2318304369851274,0.15748550229196367,0.2801248463250472,0.1226000971967392,0.40580715325605077,4.951297943073402
0.65,0.026321697243836734,0.09555949274213157,0.04913586196410401,0.22752809291508852,0.15726008216831455,0.23167509082185805,0.1225714267374516,0.3619265497845881,4.712038328968622
0.7000000000000001,0.026316426649692456,0.09531196431381388,0.04913482961301943,0.22298079324950787,0.15698261500559604,0.18984254606306505,0.12253150451581948,0.3193744845125218,4.489046626959611
0.75,0.02631076750774384,0.09504691791434171,0.04913355486360458,0.218208380715194,0.1566471695831999,0.1544183297160342,0.12247756472849439,0.2790800427824706,4.28466891401981
0.8,0.026304720195459614,0.09476453398247947,0.04913200347122035,0.2132312457701016,0.156247979565483,0.12497728037554975,0.12240658473770556,0.2416917305547771,4.099976497908788
0.8500000000000001,0.026298285111721956,0.09446500338598916,0.049130139260452184,0.20807018950071104,0.15577952619413193,0.10095532217419048,0.12231533584858854,0.20760274595470604,3.9349971894227336
0.9,0.02629146267685514,0.09414852665105586,0.049127924193781175,0.20274628540249165,0.155236614424063,0.08171461601258587,0.12220044184796734,0.1769916987725152,3.7889685279902614
0.9500000000000001,0.026284253332760663,0.09381531332015947,0.04912531844235867,0.19728074098589796,0.15461444156593393,0.06659489143631431,0.12205844251963331,0.14986851283072458,3.6605789218885274
1.0,0.026276657543135337,0.09346558144830393,0.049122280459811374,0.19169476055586082,0.15390865772097892,0.05495126329073438,0.12188585935765006,0.12611879153426026,3.5481771229400922
1.05,0.026268675793748066,0.09309955723171547,0.04911876705976048,0.18600941077993566,0.1531154175081193,0.04618000620320577,0.1216792608752282,0.10554292657183947,3.4499417958922893
1.1,0.026260308592751656,0.09271747475174422,0.04911473349743777,0.18024549077569615,0.1522314227853497,0.03973432628705498,0.12143532521056581,0.08788840149696582,3.364010595107774
1.1500000000000001,0.026251556471007978,0.09231957580981136,0.04911013355548163,0.1744234084218778,0.15125395625435648,0.03513230473467926,0.12115089811877665,0.07287512381467563,3.2885725823655747
1.2000000000000002,0.02624241998240741,0.09190610982633504,0.04910491963373496,0.16856306445555094,0.15018090600703507,0.031959052496824195,0.12082304486900591,0.060214384088771014,3.221929848323228
1.25,0.026232899704166875,0.09147733377683641,0.04909904284266431,0.16268374569167104,0.14901078122355907,0.029864836981370716,0.1204490950020448,0.04962238307254828,3.1625346759435233
1.3,0.026222996237094186,0.09103351214095631,0.049092453099881375,0.1568040284248982,0.14774271936306754,0.02856061106437097,0.12002667931768136,0.040829351563989084,3.1090081783811137
1.35,0.026212710205809845,0.0905749168440364,0.04908509922916905,0.15094169277627412,0.14637648529961086,0.027812048495388274,0.11955375883229777,0.033585230436884925,3.0601455234493296
1.4000000000000001,0.02620204225892066,0.09010182717549313,0.04907692906138689,0.14511364845306202,0.14491246294795423,0.02743289885277977,0.11902864576331249,0.027662756168142098,3.0149119116741088
1.4500000000000002,0.026190993069142427,0.08961452967286818,0.04906788953664186,0.13933587211609194,0.1433516399968185,0.027278232523788134,0.1184500168522932,0.022858654849043463,2.9724325650346057
1.5,0.026179563333371278,0.08911331796477305,0.04905792680714952,0.13362335630634048,0.1416955864220838,0.02723795363040673,0.11781691953275526,0.018993508911671907,2.931979183907752
1.55,0.02616775377270527,0.08859849256971182,0.049046986340266885,0.12799006967690402,0.13994642749056194,0.02723081223819443,0.11712877158565517,0.01591073668580325,2.8929546654139653
1.6,0.026155565132419286,0.0880703606508425,0.04903501302124365,0.12244892810953388,0.13810681198747007,0.027199039740647014,0.11638535501184505,0.013475019348196553,2.8548773454822074
1.6500000000000001,0.026142998181897293,0.08752923572909631,0.049021951255305896,0.11701177616508036,0.13617987640911752,0.027103655534758717,0.11558680489411456,0.011570423052229422,2.81736561530604
