Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_3d(7),J_4s(2),J_total_Co
0.0,0.032330456248700845,0.12191966048614403,0.06212828211343065,0.33920261624449616,0.2122909440053995,0.1883242518126441,1.5106498220865074,6.9729902295331865
0.05,0.03233010016011837,0.1219012815189017,0.062128281395032146,0.3387620713962446,0.21229064603569642,0.18832424957758478,1.4769464368944256,6.904663091566846
0.1,0.03232903083046376,0.12184613345197853,0.06212827493360264,0.337445163608779,0.21228797618346493,0.18832417715808983,1.3808998913583865,6.70980718530825
0.15000000000000002,0.03232724542116453,0.12175419288867348,0.06212824983114934,0.33526568170195664,0.2122776654509285,0.18832359041793703,1.2362894570090208,6.415973778659657
0.2,0.03232474024191033,0.12162545052120759,0.062128184659697855,0.33224544101175824,0.21225112577519553,0.18832098950242906,1.0619816950578493,6.060877442791815
0.25,0.032321511899110617,0.12145994367878359,0.062128049563100925,0.3284129492980572,0.21219673180561763,0.1883128851630951,0.8775429646485847,5.683613623403049
0.30000000000000004,0.032317558275688066,0.12125778373777395,0.0621278063972014,0.3238021592038858,0.21210019865934773,0.1882928469343186,0.6995963674630008,5.3173656962402225
0.35000000000000003,0.03231287906030319,0.1210191703725869,0.062127408906101744,0.3184515690543239,0.21194504007855733,0.18825077521174602,0.5397939575728934,4.985345272510392
0.4,0.032307475743518096,0.12074439042863004,0.0621268029318158,0.3124037343106464,0.21171308851469042,0.18817258587615623,0.4044603059259798,4.70007926262968
0.45,0.032301351184278494,0.12043380452527315,0.06212592665421075,0.3057050796106564,0.2113850567680531,0.18804040392783883,0.2954094293464653,4.465048057361802
0.5,0.032294508953158794,0.12008782738736788,0.06212471085789877,0.29840581795271404,0.21094111997583342,0.18783325807659287,0.21128516950220572,4.277374439129436
0.55,0.03228695266558975,0.1197069080255492,0.06212307922261073,0.2905597932263388,0.21036149695718007,0.18752817710700523,0.14891122875100107,4.130534462164739
0.6000000000000001,0.0322786854585182,0.11929151412411844,0.062120948633575146,0.28222413025564635,0.2096270111125168,0.1871015291837101,0.10437128424141072,4.01652969092191
0.65,0.0322697096813801,0.11884212260873378,0.062118229508523935,0.27345865938108416,0.20871961310210996,0.1865304241838635,0.07373847241022387,3.927357953113692
0.7000000000000001,0.032260026800990334,0.11835921632180058,0.062114826138138145,0.2643251490781848,0.20762285022067506,0.18579401336386198,0.05349051400391224,3.8558539641096883
0.75,0.032249637475637596,0.11784328547147407,0.06211063703701278,0.2548864172808133,0.20632227053989624,0.1848745598436467,0.04069188161927113,3.7960618080613733
0.8,0.032238541736613065,0.11729483204434857,0.06210555530254019,0.2452054014624373,0.20480575330004552,0.18375820445585087,0.033026179917578974,3.743305193128426
0.8500000000000001,0.03222673921793631,0.1167143754604371,0.06209946897946459,0.2353442578278963,0.20306376049336555,0.18243540245298467,0.028745123382881824,3.694088185786177
0.9,0.03221422938794765,0.11610245813548532,0.06209226142822592,0.225363540995894,0.20108950791355873,0.18090104881308922,0.026580030636817614,3.6459184760546215
0.9500000000000001,0.0322010117523912,0.11545965008781812,0.062083811695570375,0.21532149494227854,0.1988790569955249,0.17915433904596745,0.025644208095206417,3.5971103152237327
1.0,0.032187086013165354,0.11478655215525066,0.06207399488624188,0.20527346824683662,0.19643133142131464,0.1771984278165626,0.02534176042586183,3.546598686243506
1.05,0.03217245217808267,0.11408379771430731,0.06206268253487041,0.19527145368210597,0.19374806464449207,0.17503995129448527,0.02528989451050444,3.4937793383075726
1.1,0.03215711062440227,0.11335205300900938,0.062049742977429996,0.1853637439705696,0.19083368614580346,0.17268847414157448,0.02525667110655173,3.4383790511514887
1.1500000000000001,0.0321410621230699,0.11259201631490587,0.062035041721846255,0.17559469127929717,0.18769515537258147,0.1701559119353488,0.025113380797981207,3.3803548671445163
1.2000000000000002,0.03212430783233031,0.11180441621015925,0.06201844181748782,0.166004556592962,0.18434175295603158,0.16745596760779108,0.024799448441442544,3.319818400049442
1.25,0.032106849269474026,0.11099000922372591,0.061999804223378474,0.1566294354483022,0.1807848389903791,0.16460360837560428,0.02429739716745455,3.2569805001296888
1.3,0.03208868826861879,0.11014957710117478,0.061978988175021205,0.14750124778911886,0.17703758795753782,0.16161459902557612,0.023615516141961543,3.1921117085761344
1.35,0.03206982693110136,0.10928392388629717,0.06195585154973606,0.1386477813289643,0.17311470936146814,0.15850509894948606,0.0227762117428907,3.125514545892135
1.4000000000000001,0.03205026757360128,0.10839387297122544,0.06193025123038787,0.13009277943080583,0.1690321623720448,0.15529132412034907,0.021808422904165722,3.0575044362166364
1.4500000000000002,0.03203001267773481,0.10748026422517484,0.0619020434673245,0.12185606594166665,0.1648068718418448,0.1519892710586035,0.020742864259520336,2.988396803473434
1.5,0.032009064843650396,0.10654395127515469,0.06187108423826944,0.11395370058426081,0.16045645201825465,0.14861449738146432,0.019609187719416103,2.9184985080543586
1.55,0.03198742674916817,0.10558579898215496,0.06183722960582099,0.10639815940666707,0.15599894318722565,0.14518195234393283,0.018434413632826246,2.848102300707443
1.6,0.03196510111523654,0.10460668113333736,0.06180033607211241,0.0991985354623391,0.15145256540392396,0.14170585047688572,0.017242180291658197,2.777483358199561
1.6500000000000001,0.03194209067790958,0.10360747835394872,0.061760260930087726,0.09236075538834457,0.14683549242937266,0.13819958168254717,0.016052504928669477,2.706897250632337
1.7000000000000002,0.03191839816664924,0.10258907623106296,0.06171686261075368,0.08588780792283086,0.1421656480309369,0.13467565171365176,0.01488185177335562,2.636578894033503
1.75,0.03189402628849425,0.10155236363381745,0.06167000102568248,0.07977998069999694,0.13746052593881913,0.1311456476658732,0.013743373607303953,2.566742183907347
1.8,0.031868977717482365,0.1004982312105813,0.06161953790396686,0.07403510191920382,0.1327370339930334,0.12762022384102154,0.01264724130609362,2.4975801025758746
1.85,0.03184325508863641,0.09942757004164196,0.06156533712277053,0.06864878373075656,0.12801136237104552,0.12410910402549506,0.011601007849004108,2.42926515856144
1.9000000000000001,0.03181686099580603,0.09834127042582953,0.061507265030574784,0.06361466443124915,0.12329887525518568,0.12062109684224266,0.010609974254582247,2.3619500598251952
1.9500000000000002,0.031789797992677005,0.09724022078046722,0.06144519076219689,0.05892464682511361,0.11861402487650938,0.11716412136457381,0.009677538463818799,2.2957685515084076
2.0,0.0317620685963053,0.09612530663571753,0.06137898654464721,0.054569130388906845,0.11397028655031963,0.11374524062898167,0.008805516850164225,2.2308363679148604
2.0500000000000003,0.03173367529259273,0.09499740970647193,0.0613085279929,0.05053723516924864,0.10938011308832965,0.11037070106073728,0.007994433489244182,2.1672522612276537
2.1,0.03170462054318782,0.09385740702717973,0.06123369439467564,0.04681701564967394,0.10485490682253586,0.10704597614179112,0.00724377570412031,2.1050990781441308
2.15,0.0316749067933641,0.09270617013727044,0.06115436898336875,0.043395663129888296,0.10040500739494457,0.10377581291681359,0.006552216456258631,2.044444861721138
2.2,0.031644536480494555,0.09154456430698925,0.06107043919830548,0.04025969546635545,0.09603969344413925,0.1005642801599634,0.005917805357564533,1.9853439601972196
2.25,0.031613512042803535,0.09037344779547052,0.06098179693157239,0.03739513331928887,0.09176719634359752,0.09741481722023725,0.005338130742072931,1.9278381279919519
2.3000000000000003,0.03158183592813463,0.0891936711346829,0.060888338760727044,0.03478766233212486,0.08759472420780114,0.09433028273316761,0.004810455553051559,1.8719576068393302
2.35,0.031549510602524165,0.0880060764344778,0.06078996616677487,0.0324227809305493,0.08352849447163743,0.0913130025356612,0.004331829897522334,1.8177221773102494
2.4000000000000004,0.03151653855841519,0.08681149670535519,0.060686585736876436,0.030285933665377466,0.07957377345854418,0.08836481625204451,0.003899183076098035,1.7651421729473271
2.45,0.03148292232238573,0.08561075519673823,0.06057810935133184,0.028362630234461794,0.07573492147657455,0.08548712213507541,0.0035093977641787997,1.7142194509484954
2.5,0.031448664462298936,0.08440466474953083,0.06046445435447404,0.026638550501838894,0.0720154421133718,0.08268091984729546,0.003159368835950742,1.664948314837382
2.5500000000000003,0.031413767593811065,0.08319402716253858,0.060345543709188064,0.025099635987057466,0.06841803453627064,0.07994685095675562,0.0028460491090219683,1.6173163858748996
2.6,0.03137823438619717,0.08197963257298042,0.060221306134857724,0.023732168424445275,0.06494464773860546,0.07728523699774005,0.00256648406128783,1.5713054211147808
2.6500000000000004,0.031342067567474076,0.0807622588518231,0.06009167622862475,0.02252283609208832,0.06159653580484889,0.07469611501245435,0.002317837344107153,1.5268920769990078
2.7,0.03130526992881663,0.07954267101505273,0.05995659456992558,0.021458788685175464,0.05837431339318304,0.07217927054453582,0.0020974086949412316,1.4840486182383745
2.75,0.031267844328276076,0.0783216206522708,0.05981600780834865,0.020527681560177504,0.055278010752881634,0.0697342681005069,0.0019026456435358794,1.4427435724394506
2.8000000000000003,0.03122979369382008,0.07709984537418449,0.059669868734928376,0.019717710207422582,0.05230712770434722,0.06736047913179524,0.0017311502118726942,1.4029423315328198
2.85,0.031191121025721923,0.07587806828066389,0.05951813633706158,0.019017635822482292,0.04946068611111378,0.06505710761857027,0.0015806816313840156,1.3646077015395484
2.9000000000000004,0.031151829398332623,0.0746569974510764,0.05936077583729668,0.018416802843924326,0.046737280465262765,0.0628232133583021,0.0014491559421261732,1.3277004025943904
2.95,0.031111921961274273,0.07343732545859141,0.05919775871630612,0.017905149308904772,0.044135126290458675,0.06065773307752977,0.0013346431977313232,1.292179521436301
3.0,0.031071401940096024,0.07221972891008578,0.05902906272040735,0.017473210851147194,0.04165210614035357,0.0585594994956953,0.0012353628764154927,1.2580029187899215
3.0500000000000003,0.0310302726364361,0.07100486801318291,0.05885467185404782,0.0171121191303146,0.03928581303477782,0.05652725847588641,0.0011496779911119293,1.2251275942062496
3.1,0.03098853742773425,0.0697933861718311,0.05867457635771437,0.016813595439663303,0.037033591232378475,0.05455968439969186,0.001076088299669988,1.1935100110161974
3.1500000000000004,0.030946199766539204,0.06858590961167844,0.05848877267176745,0.016569940192007238,0.034892574286729844,0.05265539390280812,0.0010132229376158086,1.1631063840863223
3.2,0.03090326317945524,0.06738304703633771,0.05829726338673578,0.016374018934032588,0.0328597203740169,0.0508129581051659,0.0009598327297649045,1.133872933059858
3.25,0.03085973126577095,0.06618538931545886,0.05810005718063747,0.016219245487282197,0.030931844914799993,0.04903091346471283,0.0009147823815748979,1.1057661037257884
3.3000000000000003,0.030815607695811886,0.06499350920534624,0.05789716874391951,0.016099562761863296,0.02910565054074319,0.047307771378069775,0.0008770427051553605,1.0787427600908182
3.35,0.030770896209056934,0.06380796110267271,0.05768861869262907,0.016009421737104422,0.027377754480147332,0.045642026644467454,0.0008456829970275082,1.0527603496396536
3.4000000000000004,0.03072560061205625,0.06262928083165982,0.057474433470447235,0.01594375905279724,0.025744713454277885,0.04403216490200258,0.0008198636538746421,1.0277770441631446
3.45,0.03067972477618641,0.06145798546491308,0.057254645240229315,0.015897973605935197,0.024203046190393075,0.04247666913759968,0.0007988290875872928,1.0037518584161762
3.5,0.030633272635275936,0.06029457317792613,0.05702929176570533,0.015867902501482265,0.022749253667598144,0.04097402536434109,0.0007819009809467202,0.9806447487414707
3.5500000000000003,0.030586248183132107,0.05913952313710086,0.05679841628400043,0.015849796662017156,0.02137983721868377,0.03952272755220633,0.0007684719094844597,0.9584166936650187
3.6,0.030538655470997274,0.0579932954209717,0.05656206736963784,0.01584029636033251,0.020091314615410184,0.03812128189086774,0.0007579993426910034,0.9370297583363473
3.6500000000000004,0.030490498604960545,0.056856330974173676,0.05632029879068652,0.01583640690135926,0.01888023426669685,0.036768210456117625,0.0007500000282113716,0.9164471445545332
3.7,0.030441781743348197,0.05572905159355656,0.05607316935771292,0.015835474645186504,0.01774318765925092,0.035462054344817646,0.0007440447554383134,0.8966332279905658
3.75,0.030392509094113743,0.05461185994572068,0.055820742766190194,0.01583516353144457,0.0166768201686548,0.03420137633700243,0.0007397534895554021,0.8775535840897558
3.8000000000000003,0.030342684912246256,0.053505139615136046,0.05556308743301045,0.015833432236847557,0.015677840366138805,0.032984763137960796,0.0007367908632239557,0.8591750040155288
3.85,0.030292313497213313,0.0524092551819037,0.0553002763277352,0.01582851207214551,0.014743027942451692,0.03181082724776346,0.0007348620104430522,0.8414655018788768
3.9000000000000004,0.030241399190452725,0.05132455232812791,0.055032386799207016,0.015818885701978435,0.01386924036564404,0.03067820850080231,0.0007337087253878097,0.8243943143866161
