Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(2),J_3d(4),J_total_Chromium
0.0,0.036476254918063444,0.1398259606144827,0.398882252212683,0.07163444696411325,0.25345964510414887,0.2547123026320447,1.7434361385917574,0.07295250983612689,0.2796519212289654,0.4298066817846795,0.797764504425366,1.5207578706248932,1.7434361385917574,1.2735615131602236,6.117931139652012
0.05,0.0364757384471444,0.13979775669766198,0.3981768888021404,0.07163444550095364,0.2534588889277783,0.25471227850414946,1.6929173151803272,0.0729514768942888,0.27959551339532396,0.42980667300572184,0.7963537776042808,1.5207533335666699,1.6929173151803272,1.2735613925207474,6.0659394821673605
0.1,0.03647418903037126,0.13971321301133285,0.3960693950014926,0.07163443234364582,0.2534521301337712,0.2547115101431115,1.5508249006876165,0.07294837806074252,0.2794264260226657,0.42980659406187494,0.7921387900029851,1.5207127808026273,1.5508249006876165,1.2735575507155574,5.91941542035407
0.15000000000000002,0.03647160667583096,0.13957253043588125,0.39258525048904885,0.07163438124400365,0.25342612836983774,0.254705446715521,1.3424045666342028,0.07294321335166191,0.2791450608717625,0.4298062874640219,0.7851705009780977,1.5205567702190264,1.3424045666342028,1.273527233577605,5.703553633096378
0.2,0.036467991456126524,0.13937603324553954,0.3877659555010869,0.07163424863782002,0.2533595684473589,0.2546795083492292,1.1007920444757295,0.07293598291225305,0.2787520664910791,0.42980549182692007,0.7755319110021738,1.5201574106841536,1.1007920444757295,1.273397541746146,5.451372449138455
0.25,0.036463343573023325,0.13912415500346934,0.3816677808430688,0.07163397391367539,0.25322413378598296,0.2546022449658914,0.8579981107618343,0.07292668714604665,0.27824831000693867,0.42980384348205236,0.7633355616861376,1.5193448027158978,0.8579981107618343,1.273011224829457,5.194668540628364
0.30000000000000004,0.036457663411628,0.1388174218102369,0.3743603188776816,0.0716334797790518,0.25298590551273586,0.25442124367699925,0.638249743127804,0.072915326823256,0.2776348436204738,0.42980087867431077,0.7487206377553632,1.517915433076415,0.638249743127804,1.2721062183849963,4.957343081462619
0.35000000000000003,0.03645095156820522,0.1384564351364709,0.3659249713846971,0.07163267271457856,0.25260699573745743,0.25406404775730107,0.4553143134636922,0.07290190313641044,0.2769128702729418,0.4297960362874713,0.7318499427693942,1.5156419744247445,0.4553143134636922,1.2703202387865054,4.75273727914116
0.4,0.03644320884739704,0.13804185625421403,0.35645342379897077,0.07163144350595743,0.2520473130157205,0.25344435663304454,0.313359112206839,0.07288641769479408,0.27608371250842806,0.4297886610357446,0.7129068475979415,1.5122838780943229,0.313359112206839,1.2672217831652226,4.584530412303292
0.45,0.03643443623524488,0.13757439375150027,0.34604608368078155,0.07162966784260803,0.25126635631408184,0.25247191245996825,0.20976028719873385,0.07286887247048976,0.27514878750300054,0.42977800705564817,0.6920921673615631,1.5075981378844912,0.20976028719873385,1.2623595622998414,4.449605821773767
0.5,0.036424634860161904,0.1370547949240061,0.3348104330162462,0.07162720697229792,0.25022494027883235,0.25106347206755625,0.13826079704931316,0.07284926972032381,0.2741095898480122,0.42976324183378756,0.6696208660324924,1.5013496416729941,0.13826079704931316,1.2553173603377812,4.341270766494705
0.55,0.03641380595422946,0.1364838411459741,0.3228592591932819,0.07162390840185903,0.24888676781854494,0.2491523123424483,0.09149183957370456,0.07282761190845892,0.2729676822919482,0.4297434504111542,0.6457185183865638,1.4933206069112697,0.09149183957370456,1.2457615617122415,4.251831271195341
0.6000000000000001,0.03640195082365021,0.13586234675615394,0.310308769263469,0.07161960663537849,0.24721978394335267,0.24669454582488434,0.06254446879725487,0.07280390164730043,0.2717246935123079,0.42971763981227096,0.620617538526938,1.483318703660116,0.06254446879725487,1.2334727291244216,4.174199675080611
0.65,0.03638907083236424,0.13519116062425154,0.29727663366411716,0.07161412394279379,0.24519726524689464,0.2436716401088298,0.04570672682380056,0.07277814166472849,0.2703823212485031,0.42968474365676274,0.5945532673282343,1.4711835914813678,0.04570672682380056,1.2183582005441491,4.102646992747546
0.7000000000000001,0.03637516739865239,0.1344711694036019,0.28388003336508233,0.07160727115342985,0.242798620246811,0.24008950312449892,0.03663951338187231,0.07275033479730478,0.2689423388072038,0.4296436269205791,0.5677600667301647,1.456791721480866,0.03663951338187231,1.2004475156224945,4.032975117740485
0.75,0.03636024200192184,0.13370330149703688,0.27023379312134144,0.07159884847051981,0.2400098952193994,0.23597508190185454,0.032251828442457546,0.07272048400384368,0.26740660299407376,0.42959309082311886,0.5404675862426829,1.4400593713163963,0.032251828442457546,1.1798754095092727,3.9623743733318455
0.8,0.03634429619583662,0.1328885309113968,0.2564486757333536,0.071588646304023,0.23682399684841768,0.2313715991959766,0.030458511693485808,0.07268859239167325,0.2657770618227936,0.42953187782413793,0.5128973514667072,1.420943981090506,0.030458511693485808,1.156857995979883,3.8891553722691867
0.8500000000000001,0.03632733162410033,0.1320278803922587,0.24262989419071834,0.07157644612000973,0.2332406561558718,0.22633342715637417,0.029924637846424403,0.07265466324820066,0.2640557607845174,0.42945867672005833,0.4852597883814367,1.399443936935231,0.029924637846424403,1.1316671357818708,3.8124645996977393
0.9,0.03630935003598808,0.13112242346230188,0.228875876754699,0.0715620213054868,0.22926616748889775,0.22092131814571137,0.02984397550472391,0.07261870007197616,0.26224484692460376,0.42937212783292084,0.457751753509398,1.3755970049333865,0.02984397550472391,1.1046065907285567,3.7320349995055655
0.9500000000000001,0.036290353299721155,0.13017328519701227,0.2152772992354525,0.07154513804779712,0.2249129419086524,0.21519840561629797,0.02976572681195985,0.07258070659944231,0.26034657039402453,0.42927082828678276,0.430554598470905,1.3494776514519145,0.02976572681195985,1.0759920280814899,3.6479881100965184
1.0,0.03627034341270171,0.1291816417388961,0.20191638165526177,0.07152555622768245,0.22019891657050336,0.20922712993196527,0.029467599532822564,0.07254068682540342,0.2583632834777922,0.4291533373660947,0.40383276331052353,1.3211934994230201,0.029467599532822564,1.0461356496598264,3.5606868195954826
1.05,0.03624932250834374,0.1281487186685632,0.18886643411157067,0.07150303032481117,0.21514686118604714,0.20306706575421848,0.028867142788562998,0.07249864501668749,0.2562974373371264,0.42901818194886704,0.37773286822314134,1.2908811671162828,0.028867142788562998,1.0153353287710924,3.4706307712017606
1.1,0.03622729285971996,0.12707578842031833,0.17619162875971103,0.07147731033411857,0.20978362007682932,0.19677352761310157,0.02796220734421509,0.07245458571943993,0.25415157684063666,0.4288638620047114,0.35238325751942207,1.258701720460976,0.02796220734421509,0.9838676380655078,3.3783848479549095
1.1500000000000001,0.03620425688051738,0.1259641669593231,0.16394697063695707,0.07144814269076008,0.20413932431772538,0.190396791170529,0.026792436656161475,0.07240851376103476,0.2519283339186462,0.4286888561445605,0.32789394127391414,1.2248359459063523,0.026792436656161475,0.951983955852645,3.284531983513314
1.2000000000000002,0.03618021712390665,0.12481520993727924,0.15217843858562155,0.0714152712009089,0.19824660360874863,0.18398176816926792,0.025415363032590864,0.0723604342478133,0.24963041987455847,0.4284916272054534,0.3043568771712431,1.1894796216524917,0.025415363032590864,0.9199088408463396,3.18964318403049
1.25,0.0361551762799334,0.12363030852412833,0.14092326790927498,0.07137843797509569,0.19213982229290938,0.1775679946336754,0.023892316425566034,0.0723103525598668,0.24726061704825666,0.4282706278505741,0.28184653581854996,1.1528389337574563,0.023892316425566034,0.887839973168377,3.094259356628647
