Q,J_1s_one_electron,J_2s_one_electron,J_2p_one_electron,J_1s(2),J_2s(2),J_2p(3),J_total_nitrogen
0.0,0.13029263394529583,0.6753828911835588,0.3954104353045275,0.26058526789059167,1.3507657823671175,1.1862313059135825,2.797582356171292
0.05,0.13026847452418341,0.6722932349129234,0.39540083004926574,0.26053694904836683,1.3445864698258467,1.1862024901477972,2.791325909022011
0.1,0.13019603824749326,0.6631268533038298,0.3953162231584952,0.2603920764949865,1.3262537066076596,1.1859486694754855,2.7725944525781316
0.15000000000000002,0.13007545078127075,0.6481847234540618,0.3949980327143968,0.2601509015625415,1.2963694469081235,1.1849940981431906,2.7415144466138557
0.2,0.1299069206004494,0.6279465964429061,0.3942094641699926,0.2598138412008988,1.2558931928858121,1.1826283925099776,2.698335426596689
0.25,0.12969073757414162,0.6030406443316054,0.3926709806479782,0.25938147514828325,1.2060812886632108,1.1780129419439345,2.643475705755429
0.30000000000000004,0.12942727105720667,0.5742054917168111,0.3900999774077714,0.25885454211441333,1.1484109834336222,1.1702999322233143,2.5775654577713496
0.35000000000000003,0.12911696755190688,0.542248311703685,0.3862478434065176,0.25823393510381376,1.08449662340737,1.1587435302195528,2.5014740887307365
0.4,0.12876034801122987,0.5080027115401542,0.3809289572389756,0.25752069602245975,1.0160054230803084,1.1427868717169267,2.4163129908196948
0.45,0.1283580048575892,0.47228971733792074,0.37403845154947946,0.2567160097151784,0.9445794346758415,1.1221153546484384,2.3234107990394586
0.5,0.12791059878774239,0.43588441445404397,0.3655580711499634,0.25582119757548477,0.8717688289080879,1.0966742134498904,2.224264239933463
0.55,0.12741885542800016,0.39948987085523946,0.3555515319946022,0.2548377108560003,0.7989797417104789,1.0666545959838065,2.120472048550286
0.6000000000000001,0.12688356189450675,0.3637190246918483,0.344152106385673,0.2537671237890135,0.7274380493836966,1.032456319157019,2.013661492329729
0.65,0.12630556330292092,0.3290843833873026,0.3315456463242709,0.25261112660584184,0.6581687667746052,0.9946369389728127,1.9054168323532599
0.7000000000000001,0.12568575926140782,0.2959947421230084,0.317952060074183,0.25137151852281564,0.5919894842460168,0.9538561802225489,1.7972171829913814
0.75,0.1250251003713605,0.26475771776080753,0.3036076304237073,0.250050200742721,0.5295154355216151,0.9108228912711219,1.690388527535458
0.8,0.12432458475226721,0.23558670168550727,0.2887497649978174,0.24864916950453442,0.47117340337101454,0.8662492949934522,1.5860718678690011
0.8500000000000001,0.12358525460087919,0.20861082539732698,0.2736049987417548,0.24717050920175837,0.41722165079465395,0.8208149962252644,1.4852071562216769
0.9,0.12280819279031324,0.1838866557841079,0.2583804447145607,0.24561638558062648,0.3677733115682158,0.775141334143682,1.3885310312925243
0.9500000000000001,0.12199451951177327,0.16141054091768603,0.24325845617269737,0.24398903902354654,0.32282108183537206,0.7297753685180921,1.2965854893770108
1.0,0.12114538895992408,0.141130766407299,0.22839401317009012,0.24229077791984815,0.282261532814598,0.6851820395102703,1.2097343502447164
1.05,0.12026198606229382,0.1229589218871967,0.21391424504245304,0.24052397212458765,0.2459178437743934,0.6417427351273591,1.1281845510263402
1.1,0.11934552325312323,0.10678009382429592,0.1999195016641729,0.23869104650624645,0.21356018764859183,0.5997585049925187,1.052009739147357
1.1500000000000001,0.11839723729256063,0.09246168170393404,0.18648544979240578,0.23679447458512126,0.18492336340786808,0.5594563493772173,0.9811741873702067
1.2000000000000002,0.117418386132816,0.07986077524613726,0.1736657634521545,0.234836772265632,0.15972155049227452,0.5209972903564635,0.91555561311437
1.25,0.11641024583367673,0.06883013181878901,0.1614950765762461,0.23282049166735347,0.13766026363757802,0.4844852297287383,0.8549659850336698
1.3,0.11537410753054865,0.05922286028547469,0.1499919583619134,0.2307482150610973,0.11844572057094938,0.4499758750857402,0.7991698107177869
1.35,0.11431127445884778,0.050895956406672146,0.13916175023564542,0.22862254891769557,0.10179191281334429,0.41748525070693626,0.747899712437976
1.4000000000000001,0.11322305903909814,0.04371285217881908,0.1289991657421247,0.22644611807819628,0.08742570435763816,0.3869974972263741,0.7008693196622086
1.4500000000000002,0.11211078002747266,0.03754514324003366,0.11949060167046187,0.2242215600549453,0.07509028648006733,0.3584718050113856,0.6577836515463982
1.5,0.11097575973675106,0.032273649884255,0.11061614229100453,0.2219515194735021,0.06454729976851,0.3318484268730136,0.6183472461150257
1.55,0.109819321332769,0.027788952446483352,0.10235126120524915,0.219638642665538,0.055577904892966705,0.3070537836157474,0.5822703311742521
1.6,0.10864278621141364,0.023991523963871872,0.09466823950577034,0.21728557242282728,0.047983047927743744,0.284004718517311,0.5492733388678821
1.6500000000000001,0.1074474714610972,0.020791564288741612,0.0875373269179933,0.2148949429221944,0.041583128577483225,0.2626119807539799,0.5190900522536575
1.7000000000000002,0.10623468741543078,0.018108621694441752,0.08092767618083407,0.21246937483086156,0.036217243388883505,0.24278302854250222,0.4914696467622473
1.75,0.1050057353005389,0.015871071360472645,0.07480808155338978,0.2100114706010778,0.03174214272094529,0.22442424466016933,0.46617785798219247
1.8,0.10376190498111716,0.014015505411418945,0.0691475510888369,0.20752380996223432,0.02803101082283789,0.20744265326651068,0.4429974740515829
1.85,0.10250447280895132,0.012486076579975433,0.06391573997627266,0.20500894561790264,0.024972153159950865,0.191747219928818,0.4217283187066715
1.9000000000000001,0.10123469957719691,0.011233827037430413,0.059083269362722346,0.20246939915439383,0.022467654074860826,0.17724980808816704,0.40218686131742165
1.9500000000000002,0.09995382858327344,0.010216025336849208,0.0546219519978658,0.19990765716654688,0.020432050673698417,0.1638658559935974,0.3842055638338427
2.0,0.09866308380276315,0.009395527533553284,0.05050494302793561,0.1973261676055263,0.018791055067106568,0.1515148290838068,0.36763205175643965
2.0500000000000003,0.09736366817622777,0.00874017314841857,0.046706831442921516,0.19472733635245554,0.01748034629683714,0.14012049432876456,0.35232817697805724
2.1,0.09605676201037422,0.008222222486358162,0.04320368512733606,0.19211352402074844,0.016444444972716323,0.12961105538200818,0.3381690243754729
2.15,0.09474352149451548,0.007817838694642296,0.03997306021004886,0.18948704298903096,0.01563567738928459,0.11991918063014657,0.32504190100846214
2.2,0.09342507733279246,0.00750661564614082,0.036993983455494636,0.1868501546655849,0.01501323129228164,0.11098195036648391,0.31284533632435046
2.25,0.09210253349214877,0.007271151090251803,0.034246914772120524,0.18420506698429753,0.014542302180503607,0.10274074431636157,0.3014881134811627
2.3000000000000003,0.09077696606558806,0.00709666338491696,0.03171369550996206,0.18155393213117613,0.01419332676983392,0.09514108652988618,0.29088834543089626
2.35,0.08944942224979677,0.006970649387430967,0.02937748704902547,0.17889884449959353,0.013941298774861935,0.0881324611470764,0.2809726044215319
2.4000000000000004,0.08812091943578527,0.006882580642867187,0.027222703213932654,0.17624183887157055,0.013765161285734373,0.08166810964179796,0.2716751097991029
2.45,0.0867924444107933,0.006823634789470401,0.025234939259259327,0.1735848888215866,0.013647269578940802,0.07570481777777799,0.26293697617830536
2.5,0.08546495266931979,0.00678645903937466,0.023400899527497295,0.17092990533863958,0.01357291807874932,0.07020269858249188,0.2547055219998808
2.5500000000000003,0.08413936783077988,0.006764962643201387,0.021708325363656827,0.16827873566155976,0.013529925286402775,0.06512497609097048,0.24693363703893303
2.6,0.08281658116095988,0.006754135372299872,0.02014592445615432,0.16563316232191977,0.013508270744599744,0.06043777336846297,0.23957920643498248
2.6500000000000004,0.08149745119413924,0.006749889225343577,0.018703302444639816,0.1629949023882785,0.013499778450687155,0.05610990733391945,0.2326045881728851
2.7,0.0801828034524773,0.006748920766479794,0.017370897376328884,0.1603656069049546,0.013497841532959588,0.05211269212898666,0.22597614056690085
2.75,0.07887343025902083,0.006748591715548433,0.016139917390167836,0.15774686051804165,0.013497183431096866,0.04841975217050351,0.21966379611964204
2.8000000000000003,0.07757009064047957,0.00674682562659515,0.015002281851889409,0.15514018128095913,0.0134936512531903,0.04500684555566822,0.21364067808981765
2.85,0.07627351031573804,0.006742018701806305,0.013950566043680066,0.15254702063147607,0.01348403740361261,0.0418516981310402,0.2078827561661289
2.9000000000000004,0.07498438176592416,0.0067329629893330065,0.012977949422353616,0.14996876353184832,0.013465925978666013,0.03893384826706085,0.20236853777757519
2.95,0.07370336438173879,0.006718780402306063,0.01207816739353295,0.14740672876347757,0.013437560804612126,0.03623450218059885,0.19707879174868853
3.0,0.07243108468366133,0.0066988661710548625,0.011245466501437932,0.14486216936732266,0.013397732342109725,0.0337363995043138,0.19199630121374617
3.0500000000000003,0.07116813661058802,0.006672840500461574,0.01047456290046365,0.14233627322117604,0.013345681000923149,0.03142368870139095,0.18710564292349013
3.1,0.06991508187242629,0.0066405073495016224,0.009760603952583947,0.13983016374485258,0.013281014699003245,0.02928181185775184,0.18239299030160766
3.1500000000000004,0.06867245036216181,0.006601819380785159,0.00909913278114722,0.13734490072432362,0.013203638761570317,0.027297398343441658,0.1778459378293356
3.2,0.06744074062293187,0.0065568482450549795,0.008486055604781802,0.13488148124586374,0.013113696490109959,0.025458166814345408,0.1734533445503191
3.25,0.06622042036567745,0.006505759470019613,0.007917611673257857,0.1324408407313549,0.013011518940039227,0.02375283501977357,0.1692051946911677
3.3000000000000003,0.06501192703300623,0.006448791315600851,0.007390345628967734,0.13002385406601247,0.012897582631201701,0.022171036886903202,0.16509247358411736
3.35,0.06381566840497702,0.00638623703967674,0.006901082122168613,0.12763133680995403,0.01277247407935348,0.02070324636650584,0.16110705725581334
3.4000000000000004,0.06263202324261022,0.006318430090716773,0.00644690251448546,0.12526404648522044,0.012636860181433547,0.019340707543456383,0.15724161421011035
3.45,0.061461341965040155,0.006245731807309715,0.006025123512782083,0.12292268393008031,0.01249146361461943,0.01807537053834625,0.153489518083046
3.5,0.06030394735634654,0.006168521260394786,0.005633277583898424,0.12060789471269308,0.012337042520789572,0.016899832751695272,0.14984476998517793
3.5500000000000003,0.05916013529823795,0.006087186922877158,0.0052690950095623575,0.1183202705964759,0.012174373845754316,0.01580728502868707,0.1463019294709173
3.6,0.05803017552490335,0.006002119894022293,0.004930487449741206,0.1160603510498067,0.012004239788044586,0.014791462349223617,0.14285605318707492
3.6500000000000004,0.056914312396499835,0.005913708443293696,0.0046155328916009245,0.11382862479299967,0.011827416886587392,0.013846598674802774,0.13950264035438983
3.7,0.05581276568790341,0.005822333670768939,0.004322461869942776,0.11162553137580682,0.011644667341537879,0.012967385609828328,0.13623758432717303
3.75,0.05472573138951237,0.005728366109517383,0.004049644853384796,0.10945146277902475,0.011456732219034767,0.012148934560154388,0.13305712955821392
3.8000000000000003,0.05365338251706026,0.005632163119866343,0.003795580698579006,0.10730676503412052,0.011264326239732687,0.011386742095737017,0.12995783336959021
3.85,0.052595869927563994,0.0055340669467796215,0.00355888608236038,0.10519173985512799,0.011068133893559243,0.01067665824708114,0.12693653199576838
3.9000000000000004,0.05155332313870311,0.005434403330030606,0.003338285828885671,0.10310664627740622,0.010868806660061212,0.010014857486657012,0.12399031042412444
