Q,J_1s_one_electron,J_1s(2),J_total_helium
0.0,0.5349430873951942,1.0698861747903885,1.0698861747903885
0.05,0.5332243828305716,1.0664487656611432,1.0664487656611432
0.1,0.52811508239712,1.05623016479424,1.05623016479424
0.15000000000000002,0.5197528972119987,1.0395057944239974,1.0395057944239974
0.2,0.5083585197307866,1.0167170394615732,1.0167170394615732
0.25,0.49422328800325876,0.9884465760065175,0.9884465760065175
0.30000000000000004,0.47769358722542227,0.9553871744508445,0.9553871744508445
0.35000000000000003,0.459153372468291,0.918306744936582,0.918306744936582
0.4,0.43900624449997266,0.8780124889999453,0.8780124889999453
0.45,0.4176583918298546,0.8353167836597092,0.8353167836597092
0.5,0.39550346414355914,0.7910069282871183,0.7910069282871183
0.55,0.3729101173381086,0.7458202346762172,0.7458202346762172
0.6000000000000001,0.3502126232444754,0.7004252464889508,0.7004252464889508
0.65,0.3277046152438579,0.6554092304877158,0.6554092304877158
0.7000000000000001,0.3056357778887443,0.6112715557774886,0.6112715557774886
0.75,0.2842111017827671,0.5684222035655342,0.5684222035655342
0.8,0.26359221705626895,0.5271844341125379,0.5271844341125379
0.8500000000000001,0.24390028137229405,0.4878005627445881,0.4878005627445881
0.9,0.22521991644999445,0.4504398328999889,0.4504398328999889
0.9500000000000001,0.2076037431135025,0.415207486227005,0.415207486227005
1.0,0.19107714218422678,0.38215428436845356,0.38215428436845356
1.05,0.17564295326508791,0.35128590653017583,0.35128590653017583
1.1,0.16128590543102037,0.32257181086204073,0.32257181086204073
1.1500000000000001,0.14797664654995504,0.2959532930999101,0.2959532930999101
1.2000000000000002,0.13567529809496745,0.2713505961899349,0.2713505961899349
1.25,0.12433450896628158,0.24866901793256316,0.24866901793256316
1.3,0.11390201573995606,0.22780403147991213,0.22780403147991213
1.35,0.1043227395521836,0.2086454791043672,0.2086454791043672
1.4000000000000001,0.09554046357224337,0.19108092714448674,0.19108092714448674
1.4500000000000002,0.087499141809287,0.174998283618574,0.174998283618574
1.5,0.0801438917500807,0.1602877835001614,0.1602877835001614
1.55,0.07342172165308426,0.14684344330616853,0.14684344330616853
1.6,0.0672820395163596,0.1345640790327192,0.1345640790327192
1.6500000000000001,0.061676985765653704,0.12335397153130741,0.12335397153130741
1.7000000000000002,0.05656162627274672,0.11312325254549344,0.11312325254549344
1.75,0.05189403688616141,0.10378807377232283,0.10378807377232283
1.8,0.047635305535440584,0.09527061107088117,0.09527061107088117
1.85,0.043749473325924326,0.08749894665184865,0.08749894665184865
1.9000000000000001,0.04020343195126415,0.0804068639025283,0.0804068639025283
1.9500000000000002,0.03696679123214263,0.07393358246428526,0.07393358246428526
2.0,0.03401172761919579,0.06802345523839158,0.06802345523839158
2.0500000000000003,0.03131282203082083,0.06262564406164166,0.06262564406164166
2.1,0.028846893376219002,0.057693786752438005,0.057693786752438005
2.15,0.026592832481115023,0.053185664962230046,0.053185664962230046
2.2,0.024531439830006628,0.049062879660013256,0.049062879660013256
2.25,0.02264526951067697,0.04529053902135394,0.04529053902135394
2.3000000000000003,0.02091848094588237,0.04183696189176474,0.04183696189176474
2.35,0.019336699381626504,0.03867339876325301,0.03867339876325301
2.4000000000000004,0.017886885635386613,0.035773771270773226,0.035773771270773226
2.45,0.016557215260927453,0.03311443052185491,0.03311443052185491
2.5,0.015336967033918838,0.030673934067837676,0.030673934067837676
2.5500000000000003,0.014216420483964806,0.028432840967929612,0.028432840967929612
2.6,0.013186762077209261,0.026373524154418522,0.026373524154418522
2.6500000000000004,0.012239999576016207,0.024479999152032413,0.024479999152032413
2.7,0.011368884057650257,0.022737768115300514,0.022737768115300514
2.75,0.010566839053952252,0.021133678107904504,0.021133678107904504
2.8000000000000003,0.00982789627208433,0.01965579254416866,0.01965579254416866
2.85,0.009146637367344468,0.018293274734688936,0.018293274734688936
2.9000000000000004,0.008518141258841531,0.017036282517683063,0.017036282517683063
2.95,0.007937936504436912,0.015875873008873824,0.015875873008873824
3.0,0.007401958280500394,0.014803916561000788,0.014803916561000788
3.0500000000000003,0.006906509542986035,0.01381301908597207,0.01381301908597207
3.1,0.006448225977853186,0.012896451955706371,0.012896451955706371
3.1500000000000004,0.006024044380039254,0.012048088760078507,0.012048088760078507
3.2,0.0056311741304071,0.0112623482608142,0.0112623482608142
3.25,0.005267071468920903,0.010534142937841806,0.010534142937841806
3.3000000000000003,0.004929416289488147,0.009858832578976294,0.009858832578976294
3.35,0.00461609120729537,0.00923218241459074,0.00923218241459074
3.4000000000000004,0.004325162673001944,0.008650325346003887,0.008650325346003887
3.45,0.004054863929841323,0.008109727859682647,0.008109727859682647
3.5,0.0038035796295578356,0.007607159259115671,0.007607159259115671
3.5500000000000003,0.003569831941254503,0.007139663882509006,0.007139663882509006
3.6,0.0033522680037367256,0.006704536007473451,0.006704536007473451
3.6500000000000004,0.0031496485869127325,0.006299297173825465,0.006299297173825465
3.7,0.002960837841364347,0.005921675682728694,0.005921675682728694
3.75,0.0027847940274411923,0.0055695880548823845,0.0055695880548823845
3.8000000000000003,0.0026205611262671534,0.005241122252534307,0.005241122252534307
3.85,0.0024672612449839685,0.004934522489967937,0.004934522489967937
3.9000000000000004,0.0023240877374928787,0.004648175474985757,0.004648175474985757
3.95,0.0021902989699844415,0.004380597939968883,0.004380597939968883
4.0,0.0020652126677554623,0.004130425335510925,0.004130425335510925
4.05,0.0019482007862807423,0.0038964015725614846,0.0038964015725614846
4.1000000000000005,0.0018386848553091592,0.0036773697106183183,0.0036773697106183183
4.15,0.0017361317499557222,0.0034722634999114444,0.0034722634999114444
4.2,0.0016400498474245118,0.0032800996948490237,0.0032800996948490237
4.25,0.0015499855321772793,0.0030999710643545586,0.0030999710643545586
4.3,0.001465520016108699,0.002931040032217398,0.002931040032217398
4.3500000000000005,0.001386266443647132,0.002772532887294264,0.002772532887294264
4.4,0.0013118672547097019,0.0026237345094194038,0.0026237345094194038
4.45,0.001241991781138984,0.002483983562277968,0.002483983562277968
4.5,0.00117633405466848,0.00235266810933696,0.00235266810933696
4.55,0.0011146108066344411,0.0022292216132688823,0.0022292216132688823
4.6000000000000005,0.001056559641598971,0.002113119283197942,0.002113119283197942
4.65,0.0010019373687970541,0.0020038747375941083,0.0020038747375941083
4.7,0.0009505184768892692,0.0019010369537785384,0.0019010369537785384
4.75,0.0009020937389113217,0.0018041874778226435,0.0018041874778226435
4.800000000000001,0.0008564689355778022,0.0017129378711556043,0.0017129378711556043
