Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(1),J_total_Rh_relativistic
0.0,0.018372214364565105,0.06643351401306187,0.033066803316005484,0.03423028024299803,0.1601977025209464,0.0951970604516114,0.09768838856030165,0.06638798698010452,0.06696572601477231,0.3889735005404179,0.25629407548094063,0.2642857254055469,0.2834187046844106,0.28928523098389475,1.6508909849139362,8.230940349806692
0.05,0.018372146898657814,0.06643053386400156,0.033066803288060366,0.03423028021073219,0.1601498273987838,0.09519705568192183,0.09768838313873912,0.06638798697973716,0.06696572601438397,0.3882560229422266,0.25629333970358026,0.2642848614322416,0.28341866403367244,0.2892851809519739,1.606025407599129,8.184532650228283
0.1,0.018371944502984443,0.06642159430734011,0.033066803037511056,0.03423027992037397,0.16000629369012478,0.0951970127866837,0.09768833438284916,0.0663879869676275,0.06696572600158279,0.38611217220387606,0.25628675665002815,0.26427713474727066,0.2834173823300984,0.2892836083409528,1.4794629799642154,8.053321397087498
0.15000000000000002,0.018371607183690367,0.06640669801414259,0.033066802064356124,0.03423027879141293,0.15976737606334282,0.09519684616692337,0.09768814500959719,0.06638798686688571,0.06696572589509102,0.38256751377516895,0.2562613915550938,0.26424738329093134,0.2834074153396707,0.28927143537615124,1.2927040329667947,7.8587054366813724
0.2,0.018371134951017425,0.06638584943453996,0.03306679953572783,0.03423027585690381,0.15943353128354942,0.09519641368838454,0.09768765351447638,0.06638798640383493,0.06696572540562876,0.37766406018397797,0.25619631718833835,0.26417113003311715,0.28336558167386305,0.2892206514668445,1.0741795008668908,7.628855181627895
0.25,0.01837052781930328,0.06635905479526427,0.0330667942865936,0.03423026976432391,0.15900539669467773,0.09519551747380085,0.09768663511759446,0.066387984892147,0.06696572380779259,0.37145939637660075,0.25606352354789513,0.2640157233978771,0.28324378450363613,0.28907389045640447,0.8517492559742874,7.391137173337247
0.30000000000000004,0.018369785806980468,0.06632632209620112,0.03306678482073696,0.034230258776772216,0.1584837881050608,0.09519390500455777,0.0976848030787624,0.06638798093544375,0.0669657196258486,0.36402549458274985,0.2558291214629095,0.2637418395428217,0.2829656791163102,0.2887416451617873,0.647071873165233,7.166465421126308
0.35000000000000003,0.018368908936575234,0.06628766110596207,0.03306676931201703,0.03423024077450873,0.15786969708707574,0.09519127052430441,0.09768181037225808,0.0663879720530791,0.06696571023849787,0.3554472559207108,0.25545477633768016,0.2633052611753165,0.2824315986318151,0.28810958554800725,0.47318087297979405,6.966933687079372
0.4,0.018367897234706054,0.06624308335648108,0.03306674560590508,0.03423021325683237,0.15716428770431642,0.09518725673506474,0.09767725170942287,0.06638795423502943,0.06696569140897082,0.34582082363989225,0.25489929822739343,0.26265883499543297,0.2815302829562565,0.2870535380218837,0.33494761760319314,6.796392851763968
0.45,0.018366750732081927,0.06619260213663965,0.033066711221296535,0.034230173344295255,0.15636889268255616,0.0951814567744687,0.09767066589484463,0.06638792143293402,0.06696565674799844,0.335251718620151,0.25412030942129143,0.26175450439135783,0.28015351288579743,0.28545694043982606,0.2312068125900025,6.652712509811186
