Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(1),J_5s1/2(1),J_total_Mo_relativistic
0.0,0.039650518296690945,0.14407561745010083,0.07184778844657339,0.14807494246583788,0.3543474535709983,0.21116129938935232,0.43224763846959524,0.2980639155673812,0.45060807004164144,0.8885401626372492,0.5912371413208061,1.2143806556665377,1.443598440287752,0.360899610071938,1.7636686788865141,8.419755184127139
0.05,0.039650349404057525,0.1440680278881489,0.07184778836202105,0.14807494227379223,0.3542187372833379,0.21116128321489347,0.43224760217415553,0.2980639155637244,0.45060807003586933,0.8864471465986304,0.5912341875748549,1.2143738680080605,1.4435974233892856,0.3608993558473214,1.7087417879653044,8.362587685503893
0.1,0.039649842732093536,0.14404526186900493,0.07184778760260256,0.1480749405456218,0.3538328891118241,0.2111611377803801,0.43224727583342193,0.2980639154432279,0.45060806984567237,0.8802000576205825,0.591207811176855,1.2143132851447567,1.4435662712523316,0.3608915678130829,1.5550691344922534,8.202130903954647
0.15000000000000002,0.039648998298607394,0.1440073273910642,0.0718477846515382,0.14807493382642903,0.3531908099014433,0.21116057302909816,0.4322460086722258,0.29806391444137587,0.4506080682643566,0.8698939110388176,0.5911064868770561,1.2140807352593934,1.4433341074463224,0.3608335268615806,1.331969563719356,7.967407304945565
0.2,0.0396478161332783,0.14395423777918662,0.07184777698254333,0.1480749163620584,0.3522939969700775,0.21115910778306882,0.4322427213446946,0.2980639098400906,0.45060806100204875,0.8556842278943929,0.5908476654306597,1.2134873646319433,1.4424122266646342,0.36060305666615855,1.077112175917608,7.695337812373636
0.25,0.039646296277654036,0.1438860116760048,0.0718477610623485,0.14807488010510184,0.3511445379994696,0.21115607309771225,0.43223591380392434,0.29806389483403917,0.45060803731905513,0.8377829011238437,0.5903225091346748,1.2122851296656274,1.4399030549769376,0.3599757637442344,0.8256947010829888,7.419818401681095
0.30000000000000004,0.039644438785147854,0.14380267302976765,0.07184773235422309,0.14807481472329462,0.3497451025355526,0.21115061691830406,0.43222367622123864,0.2980638556069909,0.45060797541423536,0.8164526466861832,0.5894020397049243,1.2101816422840197,1.434598198302689,0.35864954957567224,0.6030367931859819,7.164460995568954
0.35000000000000003,0.03964224372103449,0.14370425107873236,0.07184768532249806,0.1480747076102913,0.34809893115056467,0.2111417099986934,0.4322037028581419,0.2980637676800549,0.45060783666730053,0.7920002612596666,0.5879442728829747,1.2068572796711885,1.4252294221956456,0.3563073555489114,0.42223129760687583,6.940589691966917
0.4,0.03963971116244529,0.14359078033212047,0.07184761343808188,0.1480745438988068,0.34620982233356123,0.2111281530322216,0.43217330876834814,0.29806359160891105,0.45060755885834575,0.7647689489366356,0.5858018647984758,1.2019833550133978,1.4107479441410746,0.35268698603526866,0.2858442505667551,6.749317797959452
0.45,0.03963684119836244,0.1434623005476578,0.07184750918496285,0.1480743064761056,0.34408211718954845,0.21110858493480866,0.4321294491829718,0.2980632681207432,0.45060704850958144,0.7351300057177359,0.5828297871486138,1.195240142194806,1.3905184113492388,0.3476296028373097,0.18951024640916386,6.585404765796048
