Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_total_Sn_relativistic
0.0,0.01632526195463519,0.05865999786377753,0.02911025112153473,0.030390406990319262,0.1378296039285526,0.08162770638794008,0.08418015111413933,0.056296362268479665,0.056880353883148785,0.3182133033804888,0.20634704645210758,0.21371700654116393,0.19027517512780395,0.19292517873144532,1.063237539349283,0.8807501633871498,9.382471351506128
0.05,0.016325214265440976,0.05865794146211721,0.0291102511066273,0.030390406972654632,0.13779882442038857,0.08162770419862633,0.08418014856306245,0.05629636226837671,0.05688035388303894,0.31781089631599424,0.20634680294430166,0.21371671522926616,0.1902751743695775,0.1929251778808413,1.0499787024296383,0.8803714845413051,9.354324063563912
0.1,0.016325071199014884,0.058651772736566465,0.02911025097381537,0.03039040681368766,0.1377065297350258,0.08162768450539262,0.08418012561644234,0.05629636226498184,0.05688035387941678,0.31660694371489084,0.20634461927588418,0.21371410362076274,0.19027514962179173,0.1929251501301165,1.0113111026393218,0.8772221916437536,9.268069948655198
0.15000000000000002,0.016324832758826523,0.058641493125209096,0.029110250458887325,0.030390406195572577,0.1375528512821938,0.08162760798518244,0.08418003645939727,0.056296362236723574,0.05688035384926723,0.31461120552592786,0.2063361752406006,0.21370400929880004,0.19027494685891266,0.19292492291654484,0.9503902024980013,0.8663648146336644,9.120133571809484
0.2,0.01632449895065837,0.058627105024162254,0.029110249121681548,0.030390404588811294,0.13733800771964252,0.08162740927538159,0.08417980495107787,0.05629636210673602,0.05688035371058363,0.31183979653785476,0.20631439996148357,0.2136779951004898,0.19027403420861297,0.19292390115047944,0.8719455056916603,0.8425244339022664,8.909402745358872
0.25,0.016324069782605477,0.05860861178654313,0.02911024634637282,0.030390401252620467,0.13706230441682735,0.08162699723664293,0.08417932494942454,0.056296361681946294,0.056880353257392297,0.30831496205252623,0.2062696616130314,0.2136245931771078,0.19027113425431844,0.19292065829308316,0.7816165520167228,0.8025919247379525,8.640903990542972
0.30000000000000004,0.016323545265075047,0.05858601772102333,0.029110241341872983,0.030390395235444935,0.13672613270682699,0.08162625531905646,0.08417846076349066,0.056296360568707224,0.05688035206977495,0.3040647704478476,0.20619002427783292,0.2135296345070853,0.1902637915960713,0.1929124591178927,0.6852396028973804,0.7468063484451033,8.326737314653242
0.35000000000000003,0.0163229254107859,0.05855932808997187,0.029110233142345503,0.030390385375617078,0.13632996892923735,0.08162504202989358,0.08417704773101287,0.056296358065873194,0.05688034939986358,0.29912272901480574,0.20606156364172729,0.21337665238027664,0.19024794153781716,0.19289478961667963,0.5882174378597463,0.6783987611272921,7.984100352953259
0.4,0.01632221023476782,0.058528549107188105,0.029110220607833494,0.030390370302161508,0.1358743732675428,0.08162319150066796,0.08417489291827433,0.05629635303645686,0.05688034403504209,0.2935273309499195,0.20586873148674018,0.21314734602871607,0.19021754482982628,0.192860967496981,0.4950627506005115,0.6023036569955739,7.631795927155369
0.45,0.016321399754360765,0.058493687935226,0.02911020242500073,0.030390348435744417,0.13535998838520785,0.08162051415078246,0.08417177593869087,0.05629634375923125,0.056880334139834635,0.28732154265435467,0.2055947576158243,0.21282208885847706,0.19016434319878392,0.19280189391697267,0.4091507153263607,0.5237385087988102,7.28689560319641
0.5,0.016320493989213987,0.05845475268231176,0.029110177107984976,0.030390317989766696,0.1347875378654526,0.08161679744457674,0.0841674498859574,0.0562963277618539,0.05688031707819017,0.2805522415020971,0.2052220769807029,0.2123804646965339,0.19007777334245804,0.19270598655506457,0.33266711752100286,0.44717620967755445,6.962581966047603
0.55,0.016319492961285008,0.05841175239885667,0.029110142999362966,0.030390276971599905,0.13415782446036892,0.08161180673815426,0.08416164237702785,0.05629630163728449,0.05688028921808267,0.2732696149701604,0.2047327694023302,0.21180181512439897,0.18994505641852114,0.1925593098352939,0.26670650230712006,0.3758562369313556,6.667370250773577
0.6000000000000001,0.016318396694838488,0.05836469707356766,0.029110098271226247,0.030390223183964008,0.13347172815570088,0.08160528621195488,0.08415405669966795,0.05629626084544326,0.056880245720536085,0.26552653246233127,0.20410899936683569,0.21106578130784104,0.18975145922901313,0.1923458942090606,0.21146265448968318,0.3117314162401105,6.405387582573795
0.65,0.016317205216444967,0.058313597629158186,0.02911004092636694,0.030390154226445636,0.13273020405824704,0.08159695988465132,0.08414437305882144,0.056296199502212,0.05688018031534893,0.25737790130326094,0.203333443919912,0.21015282469600244,0.18948070521210084,0.1920482162098927,0.16645737403419908,0.2556662184583393,6.177233296794938
0.7000000000000001,0.016315918554979505,0.058258465917662226,0.029109968799572526,0.030390067497155577,0.13193428011344066,0.08158653270358686,0.08413224991556878,0.056296110158011885,0.056880085065934866,0.2488800182405208,0.20238969762141515,0.20904471247177372,0.1891155000092493,0.19164779675250768,0.13076619047141935,0.20772702239184807,5.981018040746583
0.75,0.016314536741620176,0.05819931471535468,0.0291098795590285,0.030389960194524043,0.13108505466122625,0.08157369170664074,0.08411732541203625,0.0562959835683008,0.05687995012581104,0.24008992738633866,0.20126264479581282,0.2077249555846125,0.18863812871751245,0.19112586772107498,0.10321503781418831,0.16746451335906787,5.813329522467816
