Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(1),J_total_Pd_relativistic
0.0,0.01750326620931541,0.06311607328687455,0.03137734170745134,0.03258717010006076,0.15049754150621864,0.08929848294747775,0.09180959431013784,0.06193847028764529,0.06251690292628954,0.3601320584533131,0.23610616583599692,0.24423005900213773,0.25152120232235,0.25703295017666306,1.599037936663634,8.140744899263971
0.05,0.017503207705584733,0.06311351534100285,0.03137734168590603,0.03258717007491337,0.15045768844010388,0.08929847949879004,0.0918095903524772,0.06193847028743054,0.06251690292606171,0.35955630811910017,0.23610567199824556,0.24422946943592558,0.25152118552573066,0.2570329290805768,1.558442911605478,8.098909871928685
0.1,0.017503032196012045,0.06310584219343952,0.0313773414931003,0.0325871698486111,0.1503381967228185,0.08929844848077609,0.09180955475793595,0.06193847028035035,0.06251690291855021,0.3578350310273642,0.2361012497443949,0.24422419211686108,0.25152065077121283,0.25703225932367624,1.4435038774637912,7.980237285732847
0.15000000000000002,0.01750273968545527,0.06309305591399511,0.03137734074462177,0.032587168968694374,0.15013926859955512,0.08929832797825892,0.09180941648369637,0.06193847022143383,0.06251690285604605,0.3549860398951956,0.23608418715249865,0.24420384348482443,0.2515164315417858,0.2570269970689855,1.2726544408003304,7.803101083091421
0.2,0.017502330182010625,0.06307515995120466,0.031377338800106604,0.03258716668146662,0.149861240486561,0.08929801513426801,0.09180905753050471,0.06193846995053071,0.06251690256865604,0.35103866225245006,0.23604032682213788,0.2441515846705493,0.25149837911275774,0.25700460698674255,1.0705840869736996,7.592037923346805
0.25,0.017501803697012163,0.06305215913060502,0.03137733476372432,0.03258716193259779,0.14950458198557962,0.08929736665045149,0.09180831354818808,0.06193846906571475,0.06251690163003079,0.3460332105080657,0.235950591722405,0.2440447971417323,0.25144455883844735,0.2569383130963296,0.861995856415473,7.3714544437960425
0.30000000000000004,0.01750116024503108,0.06302405965232488,0.03137732748485593,0.032587153367968476,0.14906989451015315,0.08929619948352086,0.0918069746781064,0.06193846674843449,0.0625168991719562,0.3400202607362866,0.2357916868335177,0.24385598047814985,0.25131822886252986,0.2567839499750577,0.6667355063000124,7.160728995614233
0.35000000000000003,0.01750039984387487,0.06299086908798944,0.03137731555896469,0.03258713933475379,0.14855790952982506,0.08929429173363423,0.09180478662731949,0.061938461542757145,0.06251689365033593,0.3330597598851081,0.23553694465844915,0.2435538281125435,0.2510680633959285,0.25648099566142024,0.4974619154176946,6.971893347937133
0.4,0.01749952251458627,0.06295259637694228,0.031377297328658627,0.03258711788274577,0.14796948643994356,0.08929138371950884,0.09180145196783088,0.06193845109166478,0.06251688256575332,0.3252199853833146,0.2351572770573617,0.24310442951412473,0.25063176660455283,0.2559576894485186,0.3597289666453538,6.809764364615292
0.45,0.01749852828144203,0.06290925182178728,0.03137727088494384,0.032587086765913084,0.14730561006638002,0.08928717923397814,0.09179663165290569,0.061938431833934514,0.06251686214241581,0.316576384481548,0.23462219245217159,0.24247254321406275,0.24994207762166315,0.25513871972192903,0.253571304682214,6.673604714666701
0.5,0.017497417171951468,0.06286084708325404,0.03137723406866735,0.032587043444196405,0.1465673878160337,0.08928134697268189,0.09178994674115955,0.06193839866565787,0.06251682696984681,0.3072103230072879,0.2339008363588136,0.24162288436872836,0.24893361004093992,0.253953416540776,0.17557873662913806,6.559278515692983
0.55,0.01749618921685487,0.06280739517439099,0.03137718447214816,0.03258698508553762,0.14575604648548438,0.08927352212760607,0.09178098031789025,0.06193834457092195,0.0625167696121903,0.29720777449445307,0.2329630143587119,0.24052137305407464,0.2475490445463745,0.25234266403047406,0.120750745004853,6.461176509819333
0.6000000000000001,0.017494844450121658,0.06274891045409056,0.03137711944099483,0.032586908568140824,0.14487292874156923,0.08926330813628057,0.09176927960198286,0.06193826022658129,0.06251668019042676,0.28665798086727556,0.23178015979509348,0.23913629478227252,0.2457436789646008,0.2502634887412356,0.08381842821658995,6.373587634151729
0.65,0.017493382908948408,0.06268540861995157,0.03137703607610799,0.032586810482962865,0.14391948928899367,0.08925027857660343,0.09175435822566919,0.06193813358638825,0.06251654594315927,0.2756521150646325,0.23032621332951547,0.23743933225531144,0.24348794251614286,0.24769107356046297,0.06001276686529422,6.291492639882432
0.7000000000000001,0.017491804633756648,0.06261690670048436,0.03137693123586575,0.03258668713643077,0.14289729074132546,0.08923397919649546,0.09173569867347431,0.06193794945001849,0.06251635077191162,0.2642819742767174,0.22857838759211851,0.2354064364386382,0.24076798133069294,0.24461853115185006,0.045401357777013505,6.2109042101901295
0.75,0.01749010966819049,0.06254342304666481,0.03137680153848996,0.03258653455338351,0.1418079992128672,0.08921393006690445,0.0917127548658396,0.06193768902272342,0.06251607477708399,0.2526387299566935,0.22651779703756844,0.23301851493212367,0.23758472464772526,0.24105506637368473,0.036947979155427434,6.128913279201979
0.8,0.017488298059114046,0.06246497732284368,0.03137664336459104,0.03258634848023492,0.14065337964994198,0.0891896278460777,0.09168495487218084,0.061937329471461786,0.06251569379083313,0.24081175761689577,0.2241299403088093,0.23026192564276643,0.2339519499822395,0.23702320835339674,0.0324248285574603,6.04357752355492
0.8500000000000001,0.017486369856608692,0.06238159049701851,0.03137645285988899,0.03258612438835477,0.13943529092105983,0.08916054814250877,0.09165170373752553,0.061936843483407444,0.06251517891318407,0.2288875657887357,0.22140502947878496,0.22712877330912878,0.22989383659587564,0.23255569325105727,0.030266088974094985,5.953746143105922
0.9,0.0174843251139701,0.06229328483047551,0.031376225938107905,0.03258585747766447,0.13815568068625217,0.0891261479635415,0.09161238640637773,0.061936198832700705,0.06251449605763901,0.21694883958985692,0.21833816711455542,0.22361701499319966,0.2254423951125536,0.22769241693869402,0.029414235013877302,5.85887646675538
0.9500000000000001,0.017482163887705116,0.062200083866809516,0.031375958284041286,0.03258554268044383,0.13681658006656533,0.0890858682362841,0.09156637072708448,0.06193535796120778,0.06251360551242895,0.20507361027004983,0.21492937789749186,0.219730387880105,0.22063503880364682,0.22247771369734143,0.029183923614038595,5.758869916100506
1.0,0.01747988623752844,0.06210201242033045,0.031375645356785296,0.03258517466534507,0.13542009813528869,0.0890391363872487,0.0915130105197261,0.061934277578880155,0.0625124615233576,0.19333455805644406,0.21118350633538507,0.21547817839157166,0.21551245050731868,0.21695808374353717,0.029152112368542836,5.653937436479299
1.05,0.01747749222635911,0.061999096563865284,0.031375282393136784,0.03258474784161007,0.13396841625295838,0.08898536896698718,0.09145164869042205,0.06193290828906629,0.06251101190391956,0.18179845172847356,0.2071099958045298,0.21087485564211073,0.21011681240455748,0.21118039830849616,0.029074495996877156,5.544495056615057
1.1,0.0174749819203168,0.061891363615964895,0.03137486441115291,0.03258425636348659,0.13246378226852057,0.08892397430594312,0.09138162037493486,0.06193119424382739,0.06250919767804133,0.17052572474182112,0.20272256673168987,0.20593959468170978,0.20449040641564975,0.20519055312064283,0.028824618072354175,5.4310859271737115
1.1500000000000001,0.01747235538871795,0.06177884212752559,0.031374386213869024,0.03258369413483915,0.13090850460926115,0.08885435518777843,0.0913022560945627,0.06192907283395155,0.06250695276039943,0.1595701844808323,0.19803881320713457,0.20069571590299917,0.19867455719482058,0.1990325113646368,0.028350956351652398,5.314323808176801
1.2000000000000002,0.01746961270407168,0.06166156186783558,0.031373842393171265,0.03258305481394995,0.12930494628221179,0.08877591152656246,0.09121288490753453,0.06192647441795321,0.06250420367882252,0.14897884841758952,0.19307973780568247,0.1951700666386615,0.19270887176714327,0.19274766661798284,0.02764751406531826,5.19485306802137
1.25,0.01746675394207554,0.06153955381005711,0.031373227333820294,0.03258233181850502,0.12765551880972595,0.08868804303442535,0.09111283753945501,0.06192332209389374,0.06250086934279114,0.13879189863424207,0.18786924401682445,0.1893923695708246,0.18663072398038552,0.18637445737726302,0.02673418488725811,5.073320964382179
1.3,0.01746377918161107,0.06141285011615524,0.031372535217622316,0.03258151833076078,0.12596267612178796,0.08859015186657453,0.09100144947678505,0.06191953151737122,0.06249686086151588,0.12904274434073074,0.1824336046045471,0.18339456036924628,0.18047493340376408,0.17994817207519898,0.025643990900326992,4.950358843810384
1.35,0.01746068850473916,0.0612814841212848,0.03137176002774353,0.03258060730288582,0.12422890842737395,0.08848164523094876,0.09087806400788076,0.06191501076851033,0.062492081414513054,0.11975818068897719,0.17680092259836808,0.1772101342167374,0.17427359365892783,0.17350089330340995,0.024415041666713364,4.82656970899289
1.4000000000000001,0.017457481996695244,0.061145490317647266,0.03137089555316401,0.03257959146247271,0.12245673608683187,0.08836193795023259,0.09074203519674358,0.06190966027024431,0.062486426177011715,0.11095863132527906,0.17100059962236708,0.17087351779740828,0.16805601211671273,0.16706154007338986,0.02308566933946028,4.7025202799206305
1.4500000000000002,0.017454159745884313,0.06100490433782991,0.03136993539326683,0.032578463318214436,0.12064870350679192,0.0882304549644718,0.09059273077534842,0.06190337275962744,0.06247978230192712,0.10265846169919757,0.1650628240497832,0.16441948011608412,0.16184873002661782,0.1606559761940605,0.021691657359736757,4.5787362037136825
1.5,0.017450721843875708,0.06085976293763959,0.0313688729625582,0.03257721516573988,0.11880737307856444,0.08808663376310981,0.0904295349412078,0.061896033313355914,0.062472028959530954,0.09486635011327585,0.1590180891600479,0.15788259235112248,0.15567559871075642,0.15430716073466547,0.02026481918078032,4.455699462992832
1.55,0.01744716838539778,0.060710103978444216,0.03136770149551426,0.03257583909360273,0.1169353191803355,0.08792992673590233,0.09025185104768975,0.06188751942811462,0.062463037435345516,0.08758570380023376,0.15289674918417714,0.15129674394675802,0.1495578931247381,0.14803532297050642,0.01883242485535232,4.333847319374088
1.6,0.017443499468332322,0.06055596640903504,0.03136641405155007,0.03257432698941797,0.11503512226273752,0.08775980343285392,0.09005910417552665,0.06187770115581396,0.06245267128619519,0.08081510789600913,0.14672861894133457,0.1446947194181563,0.14351444877369077,0.1418581492516673,0.017417141678099365,4.213572331879402
1.6500000000000001,0.01743971519370886,0.060397390247023286,0.03136500352010625,0.03257267054614002,0.11310936303655868,0.0875757527240517,0.08985074357492266,0.061866441293240745,0.06244078655377099,0.0745487959806003,0.1405426207593714,0.13810783793306386,0.13756181170745946,0.13579097307319382,0.016037270568650213,4.095223131472586
1.7000000000000002,0.01743581566569872,0.06023441655978498,0.031363462625848555,0.032570861268476525,0.11116061678047015,0.08737728485103956,0.08962624496867957,0.06185359562512715,0.0624272320345092,0.06877713182823719,0.13436648057938627,0.13156565568045273,0.13171439421954453,0.12984696248987165,0.014707138010722117,3.9791057299870602
1.75,0.01743180099160894,0.06006708744496805,0.03136178393397576,0.03256889047943162,0.10919144778569853,0.08716393336217473,0.08938511270780619,0.061839013219146005,0.062411849604058586,0.06348709309162964,0.12822647359431133,0.12509572934769214,0.1259846310877121,0.12403730111816035,0.013437555531394061,3.8654852076405932
1.8,0.017427671281876018,0.05989544601057604,0.03135995985563097,0.032566749326972455,0.10720440395356268,0.08693525692523181,0.08912688177214513,0.061822536770875604,0.06239447459411858,0.05866274879448549,0.12214721847404021,0.11872343769415582,0.12038313285421817,0.1183713604642813,0.012236293120859462,3.7545876677355343
1.85,0.017423426650059425,0.059719536354643145,0.03135798265341145,0.032564428790812575,0.10520201156073503,0.0866908410113584,0.08885111960963472,0.06180400299634576,0.06237493621897627,0.054285723680525366,0.11615151818192652,0.1124718572080621,0.11491883385893745,0.11285686235447209,0.011108535395994802,3.646602376877174
1.9000000000000001,0.017419067212834996,0.059539403544515306,0.03135584444697211,0.032561919689305836,0.10318677020598616,0.08643029944533728,0.08855742780891393,0.06178324306938356,0.06235305804865806,0.05033564363047717,0.11026024457732594,0.10636168713304603,0.10959913361011947,0.10750003095289755,0.010057303653744082,3.541684029033051
1.9500000000000002,0.017414593089988106,0.0593550935957525,0.03135353721871755,0.03255921268644432,0.10116114795103572,0.08615327581796398,0.08824544360106584,0.06176008310062461,0.062328658525244794,0.04679055748203709,0.10449226340721937,0.10041121871452252,0.10443003069772828,0.10230573432914584,0.009083835974330151,3.439955085427645
2.0,0.017410004404406692,0.059166653450667524,0.03135105281957758,0.03255629829895369,0.09912757666696972,0.08585944475720118,0.08791484118737353,0.06173434465474587,0.06230155151857909,0.04362733164877341,0.09886439589350635,0.09463634330413515,0.09941624889021411,0.09727761583702962,0.008187923050471156,3.341508151808017
2.0500000000000003,0.017405301282074077,0.05897413095651666,0.03134838297486118,0.03255316690347936,0.09708844759650227,0.08554851305561545,0.08756533289102193,0.061705845302211286,0.0622715469173231,0.04082201491550963,0.09339141289569676,0.08905059393442974,0.09456135534904252,0.0924182157385834,0.007368200653549256,3.24640836146328
2.1,0.01740048385206163,0.058777574843357945,0.03134551929018369,0.03254980874385689,0.09504610714116585,0.08522022065243233,0.08719667013171506,0.06167439920160184,0.06223845125110324,0.03835017167824391,0.08808605754520935,0.08366521509811115,0.08986787108337829,0.0877290836013584,0.006622401436541071,3.1546957375912728
