Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(4),J_total_Se
0.0,0.025545136909418075,0.09392448483098906,0.04747847893381074,0.2468519975960741,0.15056626837449189,0.8385947065703246,0.11412748350569465,0.6004847614081745,7.141315016353072
0.05,0.02554496060081387,0.09391605074124372,0.0474784787650452,0.24668010978758115,0.15056621546165158,0.8323518374626787,0.11412748347148856,0.6004340328257501,7.128265048562701
0.1,0.02554443168565803,0.09389075218173148,0.047478477245271364,0.24616527742417438,0.15056574056229388,0.8139330253895273,0.1141274823486594,0.5999926575062717,7.088577733719255
0.15000000000000002,0.02554355019587751,0.09384860043389433,0.047478471329879375,0.24530998254462918,0.15056390168608422,0.7842393320619554,0.11412747306816243,0.5983640092935318,7.020867936424246
0.2,0.025542316184541537,0.0937896147870908,0.04747845593165755,0.2441183254009869,0.15055915009362336,0.744682147742383,0.11412743079109183,0.5944356983322945,6.923507545621786
0.25,0.0255407297256559,0.09371382320027544,0.04747842390497101,0.24259597201440333,0.1505493608539595,0.6970609269616493,0.11412729436162583,0.5870365986570717,6.795408950602097
0.30000000000000004,0.02553879091389003,0.09362126310235741,0.04747836602970836,0.24075008495933992,0.1505318732592426,0.6434159124336585,0.11412694232760644,0.5751900257827424,6.636743064959232
0.35000000000000003,0.025536499864250578,0.09351198222972007,0.04747827099938557,0.23858924085378266,0.150503539239018,0.5858741340671567,0.11412616531299666,0.5583033593619071,6.4493896660378365
0.4,0.02553385671171754,0.0933860393997971,0.047478125417192325,0.23612333815464212,0.15046077793766588,0.5265058119999008,0.11412463677158916,0.5362605283260454,6.237019993681338
0.45,0.025530861610859854,0.09324350513386914,0.047477913802550925,0.2333634985719682,0.15039963482366045,0.4672046189453027,0.11412188423685873,0.5094146344064345,6.004827640275593
0.5,0.025527514735447742,0.0930844620668304,0.04747761860929813,0.23032196482846068,0.15031584398650857,0.40960012423879233,0.1141172631100668,0.47850255814525755,5.759011770995601
0.55,0.02552381627807782,0.09290900511171786,0.0474772202552519,0.2270119967432635,0.15020489255272612,0.35500531926787937,0.1141099348132537,0.44451571819595603,5.506155172566106
0.6000000000000001,0.025519766449825315,0.09271724137719792,0.04747669716193178,0.22344776685585255,0.15006208635532325,0.30439739923892234,0.11409885080279146,0.40856119513000694,5.252630337495069
