Q,J_1s_one_electron,J_2s_one_electron,J_2p_one_electron,J_1s(2),J_2s(2),J_2p(2),J_total_carbon
0.0,0.1532010547341281,0.8046977681366464,0.47972986185613753,0.3064021094682562,1.6093955362732928,0.9594597237122751,2.8752573694538244
0.05,0.15316193380420412,0.7995298295234142,0.4797061209164058,0.30632386760840824,1.5990596590468285,0.9594122418328116,2.8647957684880483
0.1,0.1530446603534405,0.7842645620432819,0.4794987537736628,0.306089320706881,1.5685291240865638,0.9589975075473256,2.8336159523407702
0.15000000000000002,0.15284950188261887,0.75959587147931,0.47872891491054204,0.30569900376523773,1.51919174295862,0.9574578298210841,2.782348576544942
0.2,0.15257690249449482,0.7266110373525756,0.4768556193196896,0.30515380498898964,1.4532220747051512,0.9537112386393792,2.7120871183335202
0.25,0.15222748026340932,0.6866974797903668,0.4732856958195988,0.30445496052681864,1.3733949595807335,0.9465713916391976,2.6244213117467496
0.30000000000000004,0.15180202350762784,0.641431122178642,0.4674857927888967,0.3036040470152557,1.282862244357284,0.9349715855777934,2.521437876950333
0.35000000000000003,0.15130148595880116,0.5924604861486602,0.4590721204698309,0.3026029719176023,1.1849209722973204,0.9181442409396618,2.4056681851545845
0.4,0.15072698086212488,0.5413994264035514,0.4478630358168522,0.30145396172424976,1.0827988528071029,0.8957260716337044,2.279978886165057
0.45,0.15007977408975792,0.48973828591628166,0.4338911146058524,0.30015954817951584,0.9794765718325633,0.8677822292117048,2.147418349223784
0.5,0.14936127639791186,0.43877916644999276,0.41738099617456537,0.2987225527958237,0.8775583328999855,0.8347619923491307,2.01104287804494
0.55,0.14857303499469124,0.38959691425917653,0.39870476303010766,0.2971460699893825,0.7791938285183531,0.7974095260602153,1.8737494245679507
0.6000000000000001,0.1477167246050057,0.3430240386574489,0.3783277070923722,0.2954334492100114,0.6860480773148978,0.7566554141847444,1.7381369407096536
0.65,0.1467941382182972,0.2996554978961763,0.3567552271303494,0.2935882764365944,0.5993109957923526,0.7135104542606988,1.606409726489646
0.7000000000000001,0.1458071776879691,0.259868164198251,0.33448797195062613,0.2916143553759382,0.519736328396502,0.6689759439012523,1.4803266276736924
0.75,0.14475784432251393,0.22384964547019165,0.31198862217905676,0.28951568864502786,0.4476992909403833,0.6239772443581135,1.3611922239435246
0.8,0.14364822957358545,0.19163170415810304,0.289660751112267,0.2872964591471709,0.3832634083162061,0.579321502224534,1.2498813696879112
0.8500000000000001,0.14248050589225597,0.16312446459875002,0.26783832195529655,0.28496101178451194,0.32624892919750004,0.5356766439105931,1.146886584892605
0.9,0.1412569177945353,0.1381486771382963,0.2467834821972333,0.2825138355890706,0.2762973542765926,0.4935669643944666,1.0523781542601298
0.9500000000000001,0.13997977315391932,0.11646432517851424,0.22669014426625114,0.27995954630783865,0.23292865035702848,0.4533802885325023,0.9662684851973693
1.0,0.13865143472285588,0.09779471373777875,0.20769110495439264,0.27730286944571175,0.1955894274755575,0.41538220990878527,0.8882745068300545
1.05,0.13727431187610076,0.08184582319700456,0.18986691657815385,0.2745486237522015,0.16369164639400913,0.3797338331563077,0.8179741033025183
1.1,0.1358508525657491,0.06832115238688713,0.17325522005367444,0.2717017051314982,0.13664230477377426,0.3465104401073489,0.7548544500126213
1.1500000000000001,0.1343835354787146,0.056932539388153985,0.15785969457826776,0.2687670709574292,0.11386507877630797,0.3157193891565355,0.6983515388902727
1.2000000000000002,0.13287486239104798,0.047407575337359266,0.14365813298290106,0.26574972478209596,0.09481515067471853,0.2873162659658021,0.6478811414226167
1.25,0.1313273507184048,0.03949425580683073,0.13060941078778998,0.2626547014368096,0.07898851161366147,0.26121882157557996,0.602862034626051
1.3,0.12974352626716087,0.03296348068623582,0.1186592918544699,0.25948705253432175,0.06592696137247164,0.2373185837089398,0.5627325976157331
1.35,0.12812591619542474,0.027609944400087884,0.10774512180093519,0.2562518323908495,0.05521988880017577,0.21549024360187038,0.5269619647928956
1.4000000000000001,0.12647704219707628,0.02325187370416544,0.09779951987629798,0.25295408439415257,0.04650374740833088,0.19559903975259596,0.4950568715550794
1.4500000000000002,0.12479941392476755,0.01972998354411706,0.0887532061653335,0.2495988278495351,0.03945996708823412,0.177506412330667,0.4665652072684362
1.5,0.12309552266950385,0.01690594058891347,0.08053710584451274,0.2461910453390077,0.03381188117782694,0.16107421168902547,0.44107713820586014
