Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(2),J_3d(3),J_total_Vanadium
0.0,0.03810637334195315,0.14699857564661048,0.41548223889834696,0.0754961858089288,0.2647571817934009,0.244555461965948,1.696246564312002,0.0762127466839063,0.29399715129322096,0.45297711485357284,0.8309644777966939,1.5885430907604055,3.392493128624004,0.7336663858978439,7.368854095909647
0.05,0.0381057841127734,0.14696637834804296,0.4146893175517579,0.0754961839339894,0.26475627683310893,0.24455545145498972,1.6488673290446023,0.0762115682255468,0.29393275669608593,0.4529771036039364,0.8293786351035158,1.5885376609986537,3.2977346580892046,0.7336663543649692,7.272438737081913
0.1,0.038104016371160294,0.14686981964276255,0.41232101942434196,0.07549616707414836,0.2647481918321507,0.24455511374514866,1.515304474385437,0.07620803274232059,0.2937396392855251,0.45297700244489014,0.8246420388486839,1.5884891509929042,3.030608948770874,0.7336653412354459,7.000330154320643
0.15000000000000002,0.03810106999736062,0.14670900493897762,0.4084083221249457,0.0754961015968978,0.26471710973721363,0.24455241255584453,1.3185190263564002,0.07620213999472124,0.29341800987795524,0.45297660958138686,0.8168166442498914,1.5883026584232818,2.6370380527128003,0.7336572376675337,6.59841135250757
0.2,0.03809694491611473,0.14648412689936355,0.4030015474638758,0.07549593168761926,0.2646376241935547,0.24454064489570007,1.0888929408198114,0.07619388983222947,0.2929682537987271,0.45297559012571553,0.8060030949277516,1.5878257451613282,2.1777858816396227,0.7336219346871002,6.127374390172475
0.25,0.03809164123147445,0.14619548350451683,0.3961686794544182,0.07549557970111288,0.26447609716487425,0.24450477532117176,0.8561800194118334,0.0761832824629489,0.29239096700903366,0.4529734782066773,0.7923373589088364,1.5868565829892454,1.7123600388236668,0.7335143259635153,5.646616034363923
0.30000000000000004,0.03808515933795333,0.14584349224702858,0.3879934327910017,0.07549494663901526,0.26419241733462784,0.24441839562081322,0.6434129324595151,0.07617031867590666,0.29168698449405717,0.4529696798340916,0.7759868655820034,1.585154504007767,1.2868258649190303,0.7332551868624396,5.202049404375296
0.35000000000000003,0.0380774999749429,0.1454286957961263,0.37857326459061147,0.07549391274033636,0.2637420358909036,0.24424245132241817,0.4642579853962381,0.0761549999498858,0.2908573915922526,0.4529634764420182,0.7571465291812229,1.5824522153454217,0.9285159707924762,0.7327273539672545,4.820817937270531
0.4,0.0380686642167363,0.14495175816122446,0.3680174029412939,0.07549233817113023,0.26307814465116597,0.24392630774726512,0.3235274339201665,0.0761373284334726,0.28990351632244893,0.4529540290267814,0.7360348058825879,1.5784688679069958,0.647054867840333,0.7317789232417954,4.5123323386544145
0.45,0.03805865341313619,0.14441345364013072,0.35644486690748955,0.07549006379937584,0.2621538624643766,0.24341104317152315,0.21953289432567946,0.07611730682627238,0.28882690728026145,0.45294038279625504,0.7128897338149791,1.5729231747862595,0.4390657886513589,0.7302331295145694,4.272996423669956
0.5,0.03804746910723546,0.14381465246920164,0.3439824128580441,0.07548691204229786,0.2609243079171723,0.24263429544499332,0.1468863207957568,0.07609493821447091,0.2876293049384033,0.4529214722537872,0.6879648257160882,1.5655458475030337,0.2937726415915136,0.7279028863349799,4.091831916552277
0.55,0.03803511295653,0.14315630696548426,0.33076236054811325,0.07548268777529021,0.25934845688960356,0.24153570036213476,0.09884015954292474,0.07607022591306,0.2863126139309685,0.4528961266517413,0.6615247210962265,1.5560907413376213,0.1976803190858495,0.7246071010864042,3.9551818491018715
0.6000000000000001,0.038021586675207046,0.14243944068868084,0.3169203029603438,0.07547717929394027,0.25739070918854573,0.24006196983783104,0.06882897712405839,0.07604317335041409,0.28487888137736167,0.4528630757636416,0.6338406059206876,1.5443442551312745,0.13765795424811678,0.7201859095134931,3.8498138553049897
0.65,0.03800689200480825,0.14166514157627705,0.30259275600782715,0.0754701593230133,0.2550221160469111,0.2381708903825407,0.05126279168302771,0.0760137840096165,0.2833302831525541,0.4528209559380798,0.6051855120156543,1.5301326962814668,0.10252558336605543,0.7145126711476221,3.764521485911049
0.7000000000000001,0.03799103071164107,0.14083455872457015,0.28791483773679155,0.07546138606832677,0.2522212468622763,0.2358338575415907,0.04178565898860184,0.07598206142328214,0.2816691174491403,0.4527683164099606,0.5758296754735831,1.513327481173658,0.08357131797720369,0.7075015726247721,3.6906495425315997
0.75,0.03797400460410394,0.13994890175625851,0.273018075582113,0.07545060430899755,0.24897469702495975,0.23303688811750725,0.03722418042756943,0.07594800920820788,0.27989780351251703,0.4527036258539853,0.546036151164226,1.4938481821497585,0.07444836085513885,0.6991106643525218,3.6219927970963557
0.8,0.0379558155614006,0.13900944150579078,0.2580284287135522,0.07543754652846593,0.24527725773756298,0.2297802969799445,0.035395511636118454,0.0759116311228012,0.27801888301158156,0.4526252791707956,0.5160568574271044,1.4716635464253778,0.07079102327223691,0.6893408909398335,3.554408111369731
0.8500000000000001,0.037936465565888464,0.13801751090210562,0.24306458910143253,0.07542193408297433,0.2411317828102131,0.22607736299338388,0.03487932406760354,0.07587293113177693,0.27603502180421124,0.452531604497846,0.48612917820286505,1.4467906968612787,0.06975864813520707,0.6782320889801516,3.4853501696133367
0.9,0.037915956733310226,0.13697450524948512,0.22823659792554,0.07540347840588069,0.23654879660483658,0.22195234843434378,0.034807133504019094,0.07583191346662045,0.27394901049897025,0.4524208704352841,0.45647319585108,1.4192927796290196,0.06961426700803819,0.6658570453030314,3.4134390821920437
