Q,J_1s(2),J_2s(2),J_3s(2),J_2p(6),J_3p(3),J_total_Phosphorus
0.0,0.11826949880560708,0.49966042536757627,1.796794278330274,0.8029791458956939,6.811550550415012e-05,3.217771463904655
0.05,0.11826508400254508,0.4993526796650683,1.781904472699504,0.8029789396705107,6.811365028551453e-05,3.202569289687913
0.1,0.11825184052093705,0.4984306694203213,1.7380672376480244,0.8029770874724782,6.809725186845469e-05,3.15779493231363
0.15000000000000002,0.1182297711418938,0.4968980691440577,1.6676923880499526,0.8029699077951624,6.803525756749363e-05,3.0858581713886344
0.2,0.11819888049684812,0.4947609825709324,1.574521345309791,0.802951327950525,6.788051866347437e-05,2.99050041684676
0.25,0.11815917506734251,0.49202791134722756,1.4632610191254802,0.802912977480847,6.757598595549759e-05,2.876428659006853
0.30000000000000004,0.11811066319425673,0.4887097100275843,1.3391529838989897,0.8028443163279815,6.70620712053997e-05,2.7488847355200177
0.35000000000000003,0.11805335510329425,0.48481952645124615,1.207537756330072,0.8027327952369647,6.628411814226931e-05,2.613209717239719
0.4,0.11798726295239631,0.48037272659906466,1.0734670181523416,0.8025640452674346,6.519895670616256e-05,2.474456251927943
0.45,0.11791240090437125,0.47538680322226884,0.9414014233531249,0.8023220927649397,6.37797203815018e-05,2.3370864999650864
0.5,0.11782878522494766,0.46988126786369633,0.815012758683612,0.8019895957172526,6.201844276903587e-05,2.2047744259322775
0.55,0.11773643440330166,0.46387752632737106,0.6970911822608897,0.8015480970972162,5.9926338743530556e-05,2.0803131664275227
0.6000000000000001,0.11763536928942694,0.45739873814969256,0.5895443027921284,0.8009782905790299,5.753203236634927e-05,1.9656142328426442
0.65,0.11752561324089617,0.4504696611395459,0.4934664997316943,0.8002602939112632,5.4878250352519564e-05,1.8617769462737521
0.7000000000000001,0.11740719227077069,0.4431164825432189,0.4092540328141899,0.7993739252358767,5.201762287082482e-05,1.769203650486927
0.75,0.1172801351886181,0.435366638818355,0.33674297256893565,0.798298977753529,4.9008226548793704e-05,1.6877377325559866
0.8,0.11714447372760335,0.4272486263440561,0.27535116926258657,0.7970154883438438,4.5909399411507324e-05,1.6168056670775013
0.8500000000000001,0.11700024265216234,0.4187918056366204,0.2242107941387808,0.7955039960450668,4.277819842779074e-05,1.555549616671058
0.9,0.11684747984255942,0.41002620177674537,0.18228322873209707,0.7937457866685136,3.9666700020992123e-05,1.5029423637199366
0.9500000000000001,0.11668622635442372,0.40098230378697813,0.14845250738565974,0.7917231202557903,3.662019401450907e-05,1.4578807779768663
1.0,0.11651652645296617,0.39169086563672206,0.12159681869814104,0.7894194385664055,3.3676209485351125e-05,1.41925732556372
1.05,0.11633842762288477,0.38218271140952903,0.10063973293046465,0.7868195502951251,3.0864241525957066e-05,1.3860112864995295
1.1,0.11615198055592188,0.37248854695956307,0.08458401149729086,0.7839097922474281,2.8206016617544167e-05,1.3571625372768215
1.1500000000000001,0.11595723911864952,0.3626387801277419,0.072531310651599,0.7806781652334909,2.571613216924128e-05,1.3318312112636506
1.2000000000000002,0.11575426030336324,0.3526633512994667,0.06369105456725481,0.7771144439630506,2.3402922584817974e-05,1.30924651305572
1.25,0.1155431041650247,0.3425915757799879,0.057381426473758074,0.7732102607234355,2.1269430891716207e-05,1.2887476365730977
1.3,0.11532383374706828,0.3324519991533158,0.05302496284385325,0.7689591630907886,1.9314394585306973e-05,1.2697792732296111
1.35,0.11509651499864157,0.32227226648685114,0.05014073800094793,0.7643566463515875,1.753318235343404e-05,1.2518836990203817
1.4000000000000001,0.11486121668553564,0.31207900595493254,0.048334657152471976,0.7594001616914472,1.5918642258602366e-05,1.2346909601266458
1.4500000000000002,0.11461801029672032,0.3018977271863717,0.04728896681888283,0.7540891015362061,1.446184081113978e-05,1.217908267678992
1.5,0.11436696994806217,0.29175273439786725,0.04675175467840779,0.7484247637036403,1.3152686213361582e-05,1.2013093754141908
1.55,0.11410817228449054,0.2816670541593441,0.04652694539489313,0.7424102962417285,1.198043849714119e-05,1.1847244485189534
1.6,0.11384169638159906,0.2716623774497548,0.046465097833292,0.7360506249917091,1.0934115154467802e-05,1.1680307307715094
1.6500000000000001,0.11356762364743389,0.26175901550262004,0.04645516217296411,0.7293523660230985,1.0002804038387165e-05,1.1511441701501548
1.7000000000000002,0.11328603772502446,0.2519758688086982,0.046417252279409286,0.7223237251464174,9.17589656785846e-06,1.1340120598561172
1.75,0.11299702439605658,0.24233040853720433,0.04629641952709351,0.7149743867215833,8.443254244282837e-06,1.116606682436182
1.8,0.11270067148596541,0.23283866955513438,0.046057370655446364,0.707315393950452,7.79532067255091e-06,1.0989199009676707
1.85,0.11239706877063364,0.22351525416444717,0.04568004726703963,0.6993590227760053,7.223190034348231e-06,1.0809586161681601
1.9000000000000001,0.11208630788481158,0.21437334563696409,0.045155972763492834,0.6911186514136292,6.718641533992546e-06,1.0627409963404315
1.9500000000000002,0.1117684822323268,0.20542473060470182,0.044485269653548695,0.6826086274173467,6.27414788877621e-06,1.0442933840558128
2.0,0.1114436868981165,0.19667982935681128,0.04367425311325331,0.6738441340412167,5.882864564543853e-06,1.0256477862739624
2.0500000000000003,0.11111201856209257,0.18814773310129868,0.04273351313819095,0.6648410574986294,5.538605216200841e-06,1.0068398609054279
2.1,0.110773575414834,0.17983624726829228,0.041676405976836445,0.6556158565548341,5.2358077051473586e-06,0.987907321022502
2.15,0.11042845707509176,0.1717519399599412,0.04051788465472281,0.6461854357152215,4.9694941352663665e-06,0.9688886868991126
2.2,0.11007676450908566,0.16390019468838465,0.03927360755197733,0.6365670230976938,4.7352275686696186e-06,0.9498223250747102
2.25,0.10971859995156921,0.1562852665860179,0.037959272718179,0.6267780539053821,4.5290674384083565e-06,0.9307457222285866
2.3000000000000003,0.10935406682863694,0.1489103413200637,0.03659013363096925,0.6168360602490275,4.347525151590114e-06,0.911694949553849
2.35,0.10898326968224756,0.14177759599492487,0.03518065929697141,0.6067585679089793,4.18752095608273e-06,0.8927042804040792
2.4000000000000004,0.10860631409643587,0.13488826137975604,0.03374430791519943,0.5965630004769442,4.0463428112270625e-06,0.8738059302111468
2.45,0.10822330662518588,0.1282426848541174,0.03229338879280074,0.5862665911788203,3.921607743107212e-06,0.8550298930586674
2.5,0.10783435472193716,0.12184039352052234,0.03083899187458859,0.5758863025532028,3.8112259650067823e-06,0.836403853896216
2.5500000000000003,0.10743956667069604,0.11568015698837927,0.029390968194407865,0.5654387540460948,3.7133678925185077e-06,0.8179531592674705
2.6,0.10703905151872264,0.10976004938855828,0.027957947859058037,0.5549401574812735,3.6264340708474656e-06,0.7997008326816832
2.6500000000000004,0.1066329190107642,0.10407751023101562,0.02654738491626115,0.5444062602776377,3.5490279511588167e-06,0.7816676234636298
2.7,0.1062212795248045,0.09862940376911035,0.025165620715401637,0.5338522962094139,3.4799313967308305e-06,0.7638720801501271
2.75,0.10580424400929873,0.09341207658305835,0.02381795921570099,0.5232929434418517,3.4180827627250978e-06,0.7463306413326726
2.8000000000000003,0.10538192392186276,0.08842141314110649,0.02250874919593838,0.5127422895233462,3.3625573711318697e-06,0.729057738339625
2.85,0.10495443116938506,0.08365288914024538,0.0212414695297983,0.5022138029740103,3.312550191297919e-06,0.7120659053636303
2.9000000000000004,0.10452187804953007,0.07910162246847319,0.020018814660803484,0.49172031107974534,3.2673605335219368e-06,0.6953658936190856
2.95,0.10408437719360097,0.07476242166768825,0.018842778182820607,0.48127398347889827,3.2263785662272756e-06,0.6789667869015743
3.0,0.10364204151073066,0.07062983181018787,0.01771473304207975,0.4708863211147308,3.189073474402235e-06,0.6628761165512035
3.0500000000000003,0.10319498413336986,0.06669817773250825,0.01663550735456435,0.46056815012021646,3.154983086942535e-06,0.6470999743237458
3.1,0.10274331836404181,0.06296160459800035,0.015605455203541242,0.4503296202012135,3.1237048121720065e-06,0.631643122071609
3.1500000000000004,0.10228715762333365,0.05941411578419151,0.014624522066652506,0.4401802070889521,3.0948877333500297e-06,0.6165090974508631
3.2,0.10182661539909584,0.05604960811274449,0.013692304737469655,0.4301287186421874,3.0682257288005197e-06,0.6017003151172262
3.25,0.10136180519682148,0.05286190445882521,0.012808105766724242,0.420183304192519,3.0434514939851127e-06,0.5872181630663839
3.3000000000000003,0.10089284049117896,0.049844783793083006,0.011970982565013631,0.41035146674254974,3.020331355089882e-06,0.5730630939231804
3.35,0.10041983467867246,0.04699200872338956,0.0111797913909283,0.4006400776450826,2.9986607752979585e-06,0.5592347110988481
3.4000000000000004,0.09994290103140596,0.044297350615145906,0.010433226503782337,0.3910553934118518,2.9782604657542536e-06,0.5457318498226518
3.45,0.09946215265192818,0.0417546123785252,0.009729854794518355,0.3816030743218257,2.9589730232254662e-06,0.5325526531198207
3.5,0.09897770242913688,0.039357649018642235,0.009068146226772255,0.37228820452142886,2.9406600255938927e-06,0.5196946428560059
3.5500000000000003,0.09848966299522284,0.03710038605050734,0.008446500426419328,0.36311531333172964,2.923199524603534e-06,0.5071547860034037
3.6,0.0979981466836348,0.03497683588489605,0.007863269755279624,0.35408839750036425,2.9064838827295993e-06,0.49492955630805746
3.6500000000000004,0.09750326548804833,0.032981112294114226,0.0073167791954931736,0.3452109441584357,2.89041790771021e-06,0.4830149915539991
3.7,0.09700513102232318,0.031107443068217836,0.006805343357316161,0.3364859542646051,2.8749172442135756e-06,0.4714067466297065
3.75,0.09650385448143449,0.029350180972705045,0.0063272809062469675,0.3279159663398712,2.8599069873715073e-06,0.4601001426072451
3.8000000000000003,0.09599954660336515,0.027703813118180702,0.0058809266866373285,0.31950308031697483,2.845320487549386e-06,0.4490902120456456
3.85,0.09549231763194736,0.026162968851128298,0.005464641799175518,0.3112489813478423,2.8310983198015357e-06,0.43837174072841323
3.9000000000000004,0.0949822772806429,0.024722426272837817,0.005076821869525942,0.30315496343090415,2.8171873950356635e-06,0.4279393060413058
3.95,0.09446953469725267,0.023377117490843015,0.004715903725479148,0.29522195273745644,2.803540193033918e-06,0.4177873121912243
