Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_4p_one electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(1),J_total_Ga
0.0,0.028069916882139678,0.10420525608159159,0.2846499316800462,0.05282524177854204,0.17570756958970754,0.14564548875746586,1.173374176336233,0.9143182950703993,0.056139833764279355,0.20841051216318318,0.31695145067125224,0.5692998633600924,1.0542454175382452,2.346748352672466,1.4564548875746586,0.9143182950703993,6.922568612814576
0.05,0.028069682557550272,0.10419371399886644,0.2843887326965597,0.05282524147047415,0.17570744909602384,0.1456454884424056,1.1572535151750514,0.9139265609191647,0.056139365115100544,0.20838742799773288,0.3169514488228449,0.5687774653931194,1.054244694576143,2.3145070303501027,1.4564548844240561,0.9139265609191647,6.889388877598264
0.1,0.02806897960092248,0.10415909335525729,0.28360682082768235,0.052825238696432845,0.17570636883403887,0.14564547815394127,1.1103743632050689,0.9106555770270878,0.05613795920184496,0.20831818671051458,0.31695143217859706,0.5672136416553647,1.0542382130042331,2.2207487264101378,1.4564547815394127,0.9106555770270878,6.790718517727193
0.15000000000000002,0.028067808063533803,0.10410141156301748,0.28230921522959995,0.052825227901098865,0.1757021929710101,0.1456453937936909,1.0369340554636062,0.8993166843014024,0.056135616127067606,0.20820282312603497,0.3169513674065932,0.5646184304591999,1.0542131578260607,2.0738681109272123,1.456453937936909,0.8993166843014024,6.62976012811048
0.2,0.02806616803038071,0.10402069950490912,0.28050416535509726,0.05282519981172647,0.17569142844634716,0.14564501368426627,0.9431562687672896,0.8742540172904888,0.05613233606076142,0.20804139900981825,0.31695119887035883,0.5610083307101945,1.054148570678083,1.8863125375345793,1.4564501368426628,0.8742540172904888,6.413298526996948
0.25,0.0280640596195243,0.10391700389900824,0.27820299174620455,0.05282514143342785,0.17566931953590903,0.14564380427484205,0.8363382084705965,0.8319906638469585,0.0561281192390486,0.20783400779801647,0.3169508486005671,0.5564059834924091,1.0540159172154542,1.672676416941193,1.4564380427484205,0.8319906638469585,6.152439999882066
0.30000000000000004,0.028061482981258153,0.10379038987008397,0.27541988825022656,0.05282503606577808,0.17562997103423175,0.1456407371494111,0.723852824788375,0.7726071745732812,0.05612296596251631,0.20758077974016795,0.31695021639466847,0.5508397765004531,1.0537798262053906,1.44770564957675,1.4564073714941108,0.7726071745732812,5.861993760447338
0.35000000000000003,0.028058438297170522,0.10364094322341609,0.2721717030448683,0.052824863348719754,0.17556649376639116,0.14563410408850777,0.6123040668946454,0.6995011638310089,0.056116876594341045,0.20728188644683218,0.31694918009231854,0.5443434060897366,1.0533989625983469,1.224608133789291,1.4563410408850777,0.6995011638310089,5.558540650326953
0.4,0.02805492577917856,0.1034687720221432,0.26847771274838267,0.05282459933680477,0.17547116682343977,0.14562135695201817,0.5069608245784728,0.6180547790034346,0.05610985155835712,0.2069375440442864,0.3169475960208286,0.5369554254967653,1.0528270009406386,1.0139216491569456,1.4562135695201817,0.6180547790034346,5.257967415741438
0.45,0.028050945668610022,0.10327400724737076,0.26435939854697305,0.05282421659372514,0.17533561175600484,0.14559899544709562,0.4115055029181363,0.534051799630059,0.056101891337220045,0.20654801449474153,0.31694529956235085,0.5287187970939461,1.052013670536029,0.8230110058362726,1.4559899544709562,0.534051799630059,4.973380432961576
0.5,0.028046498235398204,0.10305680251705117,0.2598402274819124,0.052823684296502485,0.1751509745166659,0.14556251925283042,0.3280575640976577,0.45247453839569646,0.05609299647079641,0.20611360503410234,0.31694210577901494,0.5196804549638248,1.0509058470999952,0.6561151281953154,1.4556251925283044,0.45247453839569646,4.71394986846705
0.55,0.02804158377744102,0.1028173330062443,0.25494543734438957,0.05282296834045622,0.17490811113846746,0.145506452708101,0.25738865610766243,0.3769064809777003,0.05608316755488204,0.2056346660124886,0.3169378100427373,0.5098908746887791,1.0494486668308047,0.5147773122153249,1.45506452708101,0.3769064809777003,4.484743505403727
0.6000000000000001,0.02803620262015687,0.10255579381720561,0.24970182092097373,0.052822031440176276,0.17459777314298547,0.1454244416728041,0.19923590413049505,0.30945524030772753,0.05607240524031374,0.20511158763441123,0.31693218864105765,0.49940364184194747,1.0475866388579127,0.3984718082609901,1.454244416728041,0.30945524030772753,4.2872779275124016
0.65,0.028030355116251043,0.10227239808445839,0.24413750477292318,0.052820833225966264,0.17421078870265702,0.1453094144653746,0.15263427012979075,0.2509852525926707,0.05606071023250209,0.20454479616891677,0.3169249993557976,0.48827500954584635,1.045264732215942,0.3052685402595815,1.453094144653746,0.2509852525926707,4.120418185025003
0.7000000000000001,0.028024041645688412,0.10196737507756264,0.23828171889839217,0.052819330338169664,0.17373823577417297,0.14515379287200342,0.11621463413031395,0.20146393579983773,0.056048083291376824,0.20393475015512527,0.316915982029018,0.47656343779678434,1.0424294146450377,0.2324292682606279,1.4515379287200343,0.20146393579983773,3.981322800697842
0.75,0.02801726261585331,0.1016409685030328,0.23216455580317757,0.05281747652303911,0.1731716038011276,0.1449497356182675,0.08844054771983355,0.16029569502885352,0.05603452523170662,0.2032819370060656,0.31690485913823463,0.46432911160635515,1.0390296228067655,0.1768810954396671,1.449497356182675,0.16029569502885352,3.8662542024403233
0.8,0.02801001846186623,0.10129343512921925,0.22581671995541944,0.05281522273366109,0.17250294111140474,0.14468939548010842,0.06777715906702116,0.12658733146417678,0.05602003692373246,0.2025868702584385,0.31689133640196654,0.4516334399108389,1.0350176466684284,0.1355543181340423,1.4468939548010842,0.12658733146417678,3.771184934562708
0.8500000000000001,0.02800230964702006,0.10092504378256688,0.2192692707462892,0.05281251723848866,0.17172498573990597,0.14436517212860892,0.05279865937834884,0.09933388878458267,0.05600461929404012,0.20185008756513376,0.31687510343093195,0.4385385414925784,1.030349914439436,0.10559731875669769,1.443651721286089,0.09933388878458267,3.6922011950494897
0.9,0.027994136663295817,0.1005360747024815,0.21255336358361968,0.05280930573880571,0.17083127802936116,0.1439699453566889,0.042246618891131425,0.07753596091304343,0.055988273326591634,0.201072149404963,0.31685583443283427,0.42510672716723935,1.024987668176167,0.08449323778226285,1.439699453566889,0.07753596091304343,3.6257393047699904
0.9500000000000001,0.0279855000319186,0.10012681920031873,0.20569999449811763,0.05280553149531533,0.16981625395948716,0.14349727692082823,0.0350528115997989,0.06026604594557439,0.0559710000638372,0.20025363840063745,0.316833188971892,0.41139998899623526,1.0188975237569229,0.0701056231995978,1.4349727692082823,0.06026604594557439,3.568699778542979
1.0,0.027976400303918018,0.09969757954574851,0.19873975370109115,0.052801135463190645,0.1686753187043875,0.14294157324572596,0.030338662268615983,0.04670045669740655,0.055952800607836035,0.19939515909149702,0.31680681277914385,0.3974795074021823,1.0120519122263252,0.060677324537231965,1.4294157324572596,0.04670045669740655,3.5184797057988826
1.05,0.02796683806066293,0.09924866899770873,0.19170259305408016,0.0527960564343905,0.16740490040916653,0.14229820516994093,0.02740088140925633,0.03612960651924041,0.05593367612132586,0.19849733799541747,0.31677633860634297,0.3834051861081603,1.0044294024549991,0.05480176281851266,1.4229820516994094,0.03612960651924041,3.4729553623234084
1.1,0.02795681391434675,0.0987804119027427,0.18461761158305737,0.05279023118578753,0.16600248460569622,0.1415635843764442,0.025690171612636918,0.027955656168649853,0.0559136278286935,0.1975608238054854,0.3167413871147252,0.36923522316611473,0.9960149076341773,0.051380343225273836,1.415635843764442,0.027955656168649853,3.4304378127075625
1.1500000000000001,0.02794632850840648,0.0982931437960926,0.17751286217040915,0.0527835946316121,0.16446663005417755,0.14073519892329447,0.02478758078451525,0.02168342675966463,0.05589265701681296,0.1965862875921852,0.3167015677896726,0.3550257243408183,0.9867997803250653,0.0495751615690305,1.4073519892329447,0.02168342675966463,3.3896165946261947
1.2000000000000002,0.02793538251786503,0.09778721145660496,0.17041518152890345,0.05277607997881029,0.16279696710296984,0.13981161227361627,0.02438130445442627,0.016908281038951846,0.05587076503573006,0.19557442291320992,0.3166564798728618,0.3408303630578069,0.976781802617819,0.04876260890885254,1.3981161227361627,0.016908281038951846,3.349500846181395
1.25,0.027923976649592248,0.09726297288244709,0.1633500446022977,0.0527676188840859,0.1609941799063112,0.13879243143798026,0.02424548197406073,0.01330319682757855,0.055847953299184495,0.19452594576489418,0.31660571330451537,0.3267000892045954,0.9659650794378672,0.04849096394812146,1.3879243143798026,0.01330319682757855,3.3093632561665594
1.3,0.027912111642484774,0.09672079716901817,0.1563414437054461,0.052758141611598725,0.15905997403076955,0.13767825037902937,0.024221696978719783,0.010606299380327335,0.05582422328496955,0.19344159433803634,0.31654884966959235,0.3126828874108922,0.9543598441846173,0.048443393957439566,1.3767825037902937,0.010606299380327335,3.268689596016168
1.35,0.02789978826756862,0.09616106428231311,0.14941179203818156,0.052747577190494756,0.1569970311197819,0.13647057482254993,0.0242033725888464,0.008609513826893038,0.05579957653513724,0.19232212856462622,0.31648546314296855,0.2988235840763631,0.9419821867186913,0.0484067451776928,1.3647057482254992,0.008609513826893038,3.2271349462678716
1.4000000000000001,0.02788700732803095,0.0955841647300425,0.14258185068387255,0.052735853571628265,0.15480895237512163,0.13517173421955497,0.024122950592977466,0.007148623493967479,0.0557740146560619,0.191168329460085,0.3164151214297696,0.2851637013677451,0.9288537142507298,0.04824590118595493,1.3517173421955497,0.007148623493967479,3.1844867480398635
1.4500000000000002,0.027873769659189317,0.09499049913913184,0.1358706778227056,0.05272289778299404,0.1525001926585841,0.13378478595161722,0.023941586796783636,0.006094793907741038,0.055747539318378635,0.18998099827826367,0.31633738669796424,0.2717413556454112,0.9150011559515047,0.04788317359356727,1.3378478595161722,0.006094793907741038,3.1406342629090025
1.5,0.02786007612840727,0.09438047775215554,0.12929559863111875,0.052708636083515295,0.15007598702087258,0.13231341608795041,0.023641028375924276,0.005347492954361723,0.05572015225681454,0.18876095550431107,0.3162518165010918,0.2585911972622375,0.9004559221252355,0.04728205675184855,1.3231341608795042,0.005347492954361723,3.095543754235405
1.55,0.027845927634965646,0.09375451985725235,0.12287219417956345,0.05269299411493146,0.14754227143206392,0.13076184018275902,0.023217327045424695,0.004828670578319172,0.05569185526993129,0.1875090397145047,0.3161579646895888,0.2457443883591269,0.8852536285923835,0.04643465409084939,1.3076184018275903,0.004828670578319172,3.0492386031222947
