Q,J_1s_one_electron,J_2s_one_electron,J_1s(2),J_2s(1),J_total_carbon
0.0,0.3284891502551828,1.924348574832059,0.6569783005103657,1.924348574832059,2.5813268753424246
0.05,0.32809701191385576,1.8604528571384527,0.6561940238277115,1.8604528571384527,2.516646880966164
0.1,0.3269251851116422,1.6826194694672278,0.6538503702232844,1.6826194694672278,2.3364698396905124
0.15000000000000002,0.3249871478539648,1.4270113005538922,0.6499742957079296,1.4270113005538922,2.0769855962618218
0.2,0.3223044971294223,1.139043466899893,0.6446089942588445,1.139043466899893,1.7836524611587374
0.25,0.3189059100431929,0.8596203161473822,0.6378118200863858,0.8596203161473822,1.4974321362337681
0.30000000000000004,0.3148260657009188,0.6164887887498065,0.6296521314018376,0.6164887887498065,1.2461409201516442
0.35000000000000003,0.3101046738705366,0.4223785716856403,0.6202093477410732,0.4223785716856403,1.0425879194267136
0.4,0.30478564724119384,0.27801748304168056,0.6095712944823877,0.27801748304168056,0.8875887775240683
0.45,0.29891637847108743,0.17695318393956327,0.5978327569421749,0.17695318393956327,0.7747859408817381
0.5,0.2925470600431406,0.10988307952370954,0.5850941200862813,0.10988307952370954,0.6949771996099908
0.55,0.2857299997238026,0.06752805210027629,0.5714599994476052,0.06752805210027629,0.6389880515478814
0.6000000000000001,0.27851891292602754,0.04206428928758153,0.5570378258520551,0.04206428928758153,0.5991021151396366
0.65,0.2709681981095731,0.02754392203670042,0.5419363962191462,0.02754392203670042,0.5694803182558467
0.7000000000000001,0.26313221576700446,0.019765358726333702,0.5262644315340089,0.019765358726333702,0.5460297902603426
0.75,0.2550645960786072,0.015925973391236855,0.5101291921572144,0.015925973391236855,0.5260551655484512
0.8,0.24681759832193884,0.014245804266972872,0.49363519664387767,0.014245804266972872,0.5078810009108505
0.8500000000000001,0.23844153994052406,0.01364593410047049,0.4768830798810481,0.01364593410047049,0.4905290139815186
0.9,0.229984307125587,0.013504592207860615,0.459968614251174,0.013504592207860615,0.4734732064590346
0.9500000000000001,0.2214909531030359,0.013485576951110202,0.4429819062060718,0.013485576951110202,0.456467483157182
1.0,0.21300338557037385,0.013423836108747611,0.4260067711407477,0.013423836108747611,0.4394306072494953
1.05,0.2045601410120825,0.013252306578153988,0.409120282024165,0.013252306578153988,0.42237258860231897
1.1,0.19619624086850973,0.012956820895146898,0.39239248173701946,0.012956820895146898,0.40534930263216634
1.1500000000000001,0.18794312260959506,0.012549297045126738,0.3758862452191901,0.012549297045126738,0.38843554226431687
1.2000000000000002,0.17982863753008058,0.012052431048005349,0.35965727506016115,0.012052431048005349,0.3717097061081665
1.25,0.17187710640868512,0.011491405416093333,0.34375421281737023,0.011491405416093333,0.35524561823346357
1.3,0.16410942394826283,0.010889745724126942,0.32821884789652567,0.010889745724126942,0.3391085936206526
1.35,0.15654320304082991,0.010267544108209247,0.31308640608165983,0.010267544108209247,0.32335395018986907
1.4000000000000001,0.1491929502971817,0.00964097193698411,0.2983859005943634,0.00964097193698411,0.3080268725313475
1.4500000000000002,0.14207026487345953,0.009022446783971719,0.28414052974691906,0.009022446783971719,0.2931629765308908
1.5,0.1351840533542354,0.00842109118463292,0.2703681067084708,0.00842109118463292,0.2787891978931037
1.55,0.12854075426049374,0.00784328448994612,0.2570815085209875,0.00784328448994612,0.26492479301093363
1.6,0.12214456659710135,0.0072932054176080875,0.2442891331942027,0.0072932054176080875,0.2515823386118108
1.6500000000000001,0.11599767770206203,0.006773317970132499,0.23199535540412405,0.006773317970132499,0.23876867337425656
1.7000000000000002,0.11010048648091889,0.006284783765560979,0.22020097296183777,0.006284783765560979,0.22648575672739876
1.75,0.1044518188830284,0.0058277997068849705,0.2089036377660568,0.0058277997068849705,0.21473143747294177
1.8,0.09904913318734786,0.005401867488580124,0.19809826637469571,0.005401867488580124,0.20350013386327584
1.85,0.09388871330455768,0.00500600439896165,0.18777742660911537,0.00500600439896165,0.19278343100807702
1.9000000000000001,0.0889658488650656,0.004638905394681763,0.1779316977301312,0.004638905394681763,0.18257060312481296
1.9500000000000002,0.08427500134770044,0.004299065745031333,0.16855000269540088,0.004299065745031333,0.1728490684404322
2.0,0.07980995591356733,0.003984872364946187,0.15961991182713467,0.003984872364946187,0.16360478419208085
2.0500000000000003,0.07556395894761093,0.003694670649850969,0.15112791789522187,0.003694670649850969,0.15482258854507283
2.1,0.07152984158240595,0.0034268123796521205,0.1430596831648119,0.0034268123796521205,0.14648649554446402
2.15,0.0677001296909722,0.003179689155688642,0.1354002593819444,0.003179689155688642,0.13857994853763303
2.2,0.06406714099487426,0.002951754898987269,0.12813428198974852,0.002951754898987269,0.1310860368887358
2.25,0.06062307004748853,0.0027415401675158534,0.12124614009497706,0.0027415401675158534,0.1239876802624929
2.3000000000000003,0.05736006192691302,0.0025476604277492915,0.11472012385382604,0.0025476604277492915,0.11726778428157533
2.35,0.05427027551499771,0.002368819920473192,0.10854055102999542,0.002368819920473192,0.11090937095046861
2.4000000000000004,0.05134593725431364,0.0022038123707737037,0.10269187450862728,0.0022038123707737037,0.10489568687940098
2.45,0.04857938626891764,0.0020515194878400265,0.09715877253783528,0.0020515194878400265,0.0992102920256753
2.5,0.04596311171222968,0.0019109079644318353,0.09192622342445936,0.0019109079644318353,0.09383713138889119
2.5500000000000003,0.04348978317033757,0.00178102550432817,0.08697956634067514,0.00178102550432817,0.0887605918450033
2.6,0.041152274905078126,0.0016609962670840034,0.08230454981015625,0.0016609962670840034,0.08396554607724026
2.6500000000000004,0.03894368467125688,0.0015500160135732762,0.07788736934251377,0.0015500160135732762,0.07943738535608705
2.7,0.036857347788780026,0.0014473471556236239,0.07371469557756005,0.0014473471556236239,0.07516204273318368
