Q,J_1s_one_electron,J_2s_one_electron,J_2p_one_electron,J_total_O
0.0,0.11333402679346655,0.5789582361973321,0.3475200715633625,2.7746648122350472
0.05,0.1133180843516173,0.5769932623959615,0.3475143669970359,2.770680161483301
0.1,0.11327027867834151,0.5711471668955013,0.34746396704783844,2.7586907593390393
0.15000000000000002,0.11319067459436914,0.5615639894763255,0.3472735347688703,2.7386034672168704
0.2,0.11307937968545075,0.5484758717054905,0.34679843717389836,2.710304251477476
0.25,0.11293654364562139,0.5321918509646345,0.34586349867934224,2.6737107839378806
0.30000000000000004,0.11276235738928367,0.5130834491978783,0.3442846267401448,2.628830120134903
0.35000000000000003,0.1125570519605139,0.4915681493798871,0.34188998863674397,2.5758103572277777
0.4,0.11232089727211436,0.4680919361867752,0.33853788745054925,2.514977216719976
0.45,0.1120542007087508,0.4431120410635534,0.3341294177838341,2.446850154679945
0.5,0.11175730562814068,0.41708089305319623,0.3286150971703031,2.3721367860438862
0.55,0.11143058979201025,0.39043206399423663,0.3219957005106364,2.2917081096150396
0.6000000000000001,0.11107446375487365,0.3635687439538922,0.3143182874188017,2.2065595650927383
0.65,0.11068936923412465,0.336855023376614,0.3056688294442372,2.117764102998426
0.7000000000000001,0.11027577747998443,0.3106100203907551,0.296162934998744,2.026423335736455
0.75,0.10983418765896823,0.28510469482728507,0.2859360149281076,1.933621824684937
0.8,0.10936512526006782,0.2605610454646491,0.27513393374011025,1.8403880764098748
0.8500000000000001,0.1088691405290343,0.2371532961619315,0.2639048450514006,1.747664253587534
0.9,0.10834680693310526,0.21501063566525908,0.25239258433088724,1.6562852225202778
0.9500000000000001,0.10779871965628014,0.19422107647917314,0.24073172762585204,1.5669665027743147
1.0,0.10722549412375597,0.17483602974599396,0.22904423641492605,1.480299993399204
1.05,0.10662776455329459,0.1568752448262336,0.2174374931049456,1.3967559911788388
1.1,0.10600618253097724,0.14033182456656168,0.20600347627926813,1.3166899193121504
1.1500000000000001,0.10536141560888072,0.12517709225262227,0.19481881344852653,1.240352269517112
1.2000000000000002,0.10469414592255827,0.11136514824089684,0.18394546620719032,1.1679004531556716
1.25,0.10400506882671841,0.09883700953188143,0.17343183553975686,1.0994114988762271
1.3,0.10329489154808047,0.08752427209943145,0.16331411411656,1.0348947837612639
1.35,0.10256433185497907,0.07735227298664892,0.1536177515334669,0.9743042158171236
1.4000000000000001,0.1018141167438465,0.06824275732638464,0.14435893394300053,0.9175494839124644
1.4500000000000002,0.10104498114319227,0.06011607545139541,0.13554600965762065,0.864506151819658
1.5,0.10025766663610859,0.05289294834465884,0.12718081660376335,0.8150244963765882
1.55,0.09945292020265323,0.046495847163944046,0.1192598862503199,0.7689370797344741
1.6,0.09863149298370093,0.04085003573333551,0.11177551250266542,0.7260651074447346
1.6500000000000001,0.09779413906801651,0.03588432487601179,0.10471668386862049,0.6862236633625385
1.7000000000000002,0.09694161430439736,0.03153158524373218,0.09806988379465273,0.6492259342748701
1.75,0.09607467514076987,0.027729061672302612,0.09181976819178768,0.6148865463932957
1.8,0.09519407749211369,0.02441852767624687,0.08594973146242847,0.583024136186435
1.85,0.09430057563903967,0.021546313950796744,0.08044237332370688,0.5534632724745003
1.9000000000000001,0.09339492115876848,0.019063240003357074,0.07527987881012503,0.5260358375647513
1.9500000000000002,0.09247786189015686,0.0169244735105539,0.07044432334026804,0.5005819641624937
2.0,0.09155014093430115,0.015089337827742844,0.06591791388017693,0.4769506130447957
2.0500000000000003,0.0906124956921184,0.01352108433931078,0.06168317619545006,0.4549998648446586
2.1,0.08966565694016865,0.012186643058533213,0.05772309707065862,0.43459698828003823
2.15,0.08871034794583943,0.011056362061935566,0.05402122926536096,0.4156183370769938
2.2,0.08774728362286874,0.010103743951303933,0.05056176591979221,0.39794911882751416
2.25,0.08677716972803606,0.009305185540694235,0.047329590148740996,0.3814830711324246
2.3000000000000003,0.08580070209970517,0.00863972532377278,0.044310304683482044,0.36612207358088406
2.35,0.08481856593875732,0.008088801944372656,0.04149024564347796,0.3517757183401718
2.4000000000000004,0.08383143513231026,0.007636025826911778,0.0388564838401222,0.33836085727893284
2.45,0.0828399716204782,0.007266965282581019,0.03639681642840708,0.32580113951974676
2.5,0.0818448248062902,0.0069689477549272245,0.034099751221215426,0.3140265500072965
2.5500000000000003,0.08084663100875104,0.006730876371717704,0.03195448555612165,0.30297295698542415
2.6,0.07984601295889887,0.006543061600102051,0.02995088124710217,0.29258167410641056
2.6500000000000004,0.07884357933858852,0.006397067534495349,0.028079436854654107,0.28279904116478416
2.7,0.07783992436160976,0.006285572160498437,0.026331258259355176,0.2735760260816371
2.75,0.07683562739663427,0.006202240816173704,0.0246980283184634,0.2648678496994695
2.8000000000000003,0.0758312526313761,0.006141611999757065,0.02317197621616953,0.25663363412694445
2.85,0.07482734877724752,0.006098994638673981,0.021745846979795973,0.2488360747510269
2.9000000000000004,0.07382444881369443,0.006070375929042177,0.020412871521580864,0.2414411355717967
2.95,0.07282306977130638,0.006052338870074337,0.019166737474400106,0.23441776718036186
