Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(2),J_total_Silicon
0.0,0.06337797100603801,0.27491512528751727,1.0362793927652938,0.1489564715129796,0.7322887016053701,0.12675594201207602,0.5498302505750345,0.8937388290778776,2.0725587855305876,1.4645774032107401,5.107461210406315
0.05,0.06337524143199684,0.2747071376557769,1.025056909006147,0.14895640422513143,0.7321549299253916,0.12675048286399368,0.5494142753115538,0.8937384253507885,2.050113818012294,1.464309859850783,5.084326861389413
0.1,0.06336705371260183,0.2740842972817591,0.9922082239055323,0.14895580102878278,0.7310099189010975,0.12673410742520366,0.5481685945635182,0.8937348061726966,1.9844164478110646,1.462019837802195,5.015073793774678
0.15000000000000002,0.06335341083932587,0.27304995848931274,0.9400783643679372,0.14895346963361464,0.7268889138370047,0.12670682167865174,0.5460999169786255,0.8937208178016878,1.8801567287358745,1.4537778276740094,4.9004621128688495
0.2,0.06333431774598826,0.2716096680225838,0.8722284217947271,0.14894746077359963,0.7172898152522024,0.12666863549197652,0.5432193360451676,0.8936847646415977,1.7444568435894543,1.4345796305044047,4.742609210272601
0.25,0.06330978124289281,0.2697711005208166,0.7929901859375248,0.1489351213788831,0.6999921670065676,0.12661956248578563,0.5395422010416332,0.8936107282732986,1.5859803718750496,1.3999843340131353,4.5457371976889025
0.30000000000000004,0.06327980994554169,0.26754397047682116,0.706971027563126,0.14891316277652564,0.673709746616813,0.12655961989108339,0.5350879409536423,0.8934789766591538,1.413942055126252,1.347419493233626,4.3164880858637575
0.35000000000000003,0.06324441421229879,0.2649399228651049,0.6185933373854691,0.14887773966821968,0.6383910466060144,0.12648882842459758,0.5298798457302099,0.893266438009318,1.2371866747709381,1.2767820932120288,4.063603880147093
0.4,0.0632036061024489,0.26197240508222625,0.531732536485363,0.14882453626451997,0.595149331500255,0.1264072122048978,0.5239448101644525,0.8929472175871198,1.063465072970726,1.19029866300051,3.797062975927706
0.45,0.0631573993609832,0.2586565231627437,0.44948713316786715,0.14874885685878295,0.5459330946000367,0.1263147987219664,0.5173130463254874,0.8924931411526977,0.8989742663357343,1.0918661892000734,3.5269614417359594
